timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
127441982,0.0,0.0,0.0
127642941,0.0,0.0,0.0
127843684,0.0,0.0,0.0
128048357,0.0,0.0,0.0
128249597,0.0,0.0,0.0
128453364,0.0,0.0,0.0
128654375,0.0,0.0,0.0
128855218,0.0,0.0,0.0
129059713,0.0,0.0,0.0
129260168,0.0,0.0,0.0
129464518,0.0,0.0,0.0
129669176,0.0,0.0,0.0
129869960,0.0,0.0,0.0
130074933,0.0,0.0,0.0
130275368,0.0,0.0,0.0
130480368,0.0,0.0,0.0
130684513,0.0,0.0,0.0
130885378,0.0,0.0,0.0
131089986,0.0,0.0,0.0
131290887,0.0,0.0,0.0
131495767,0.0,0.0,0.0
131699672,0.0,0.0,0.0
131900168,0.0,0.0,0.0
132105535,0.0,0.0,0.0
132306018,0.0,0.0,0.0
132510938,0.0,0.0,0.0
132714969,0.0,0.0,0.0
132915523,0.0,0.0,0.0
133120492,0.0,0.0,0.0
133321356,0.0,0.0,0.0
133526384,0.0,0.0,0.0
133727204,0.0,0.0,0.0
133930559,0.0,0.0,0.0
134136034,0.0,0.0,0.0
134336359,0.0,0.0,0.0
134541353,0.0,0.0,0.0
134742125,0.0,0.0,0.0
134946734,0.0,0.0,0.0
135146904,0.0,0.0,0.0
135347606,0.0,0.0,0.0
135552503,0.0,0.0,0.0
135753281,0.0,0.0,0.0
135957185,0.0,0.0,0.0
136158645,0.0,0.0,0.0
136358759,0.0,0.0,0.0
136563716,0.0,0.0,0.0
136764164,0.0,0.0,0.0
136968330,0.0,0.0,0.0
137173337,0.0,0.0,0.0
137374269,0.0,0.0,0.0
137579201,0.0,0.0,0.0
137779330,0.0,0.0,0.0
137984318,0.0,0.0,0.0
138188451,0.0,0.0,0.0
138388930,0.0,0.0,0.0
138593746,0.0,0.0,0.0
138794894,0.0,0.0,0.0
138999126,0.0,0.0,0.0
139203709,0.0,0.0,0.0
139404456,0.0,0.0,0.0
139608937,0.0,0.0,0.0
139809735,0.0,0.0,0.0
140014415,0.0,0.0,0.0
140215631,0.0,0.0,0.0
140415536,0.0,0.0,0.0
140620440,0.0,0.0,0.0
140821315,0.0,0.0,0.0
141026410,0.0,0.0,0.0
141226666,0.0,0.0,0.0
141426546,0.0,0.0,0.0
141631563,0.0,0.0,0.0
141832793,0.0,0.0,0.0
142032515,0.0,0.0,0.0
142236952,0.0,0.0,0.0
142438009,0.0,0.0,0.0
142642864,0.0,0.0,0.0
142843695,0.0,0.0,0.0
143043695,0.0,0.0,0.0
143248810,0.0,0.0,0.0
143449260,0.0,0.0,0.0
143649737,0.0,0.0,0.0
143855215,0.0,0.0,0.0
144055197,0.0,0.0,0.0
144259468,0.0,0.0,0.0
144460682,0.0,0.0,0.0
144661619,0.0,0.0,0.0
144865959,0.0,0.0,0.0
145066116,0.0,0.0,0.0
145266534,0.0,0.0,0.0
145471693,0.0,0.0,0.0
145672382,0.0,0.0,0.0
145876181,0.0,0.0,0.0
146077343,0.0,0.0,0.0
146277974,0.0,0.0,0.0
146482595,0.0,0.0,0.0
146683367,0.0,0.0,0.0
146888294,0.0,0.0,0.0
147088827,0.0,0.0,0.0
147289589,0.0,0.0,0.0
147494274,0.0,0.0,0.0
147694950,0.0,0.0,0.0
147894922,0.0,0.0,0.0
148099385,0.0,0.0,0.0
148300056,0.0,0.0,0.0
148504935,0.0,0.0,0.0
