timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
175130319,inf,1,0,0,0
176149300,inf,1,0,0,0
177161288,inf,1,0,0,0
178163396,inf,1,0,0,0
179174323,inf,1,0,0,0
180192580,inf,1,0,0,0
181207609,inf,1,0,0,0
182217318,inf,1,0,0,0
183221612,inf,1,0,0,0
184231619,inf,1,0,0,0
185240440,inf,1,0,0,0
186241802,inf,1,0,0,0
187246293,inf,1,0,0,0
188256837,inf,1,0,0,0
189262793,inf,1,0,0,0
190270080,inf,1,0,0,0
191276808,inf,1,0,0,0
192289316,inf,1,0,0,0
193295418,inf,1,0,0,0
194301889,inf,1,0,0,0
195305318,inf,1,0,0,0
196318317,inf,1,0,0,0
197319938,inf,1,0,0,0
198326333,inf,1,0,0,0
199339523,inf,1,0,0,0
200351633,inf,1,0,0,0
201371167,inf,1,0,0,0
202374294,inf,1,0,0,0
203382321,inf,1,0,0,0
204394174,inf,1,0,0,0
205402297,inf,1,0,0,0
206414303,inf,1,0,0,0
207422861,inf,1,0,0,0
208425957,inf,1,0,0,0
209435611,inf,1,0,0,0
210444320,inf,1,0,0,0
211450171,inf,1,0,0,0
212461253,inf,1,0,0,0
213474335,inf,1,0,0,0
214480320,inf,1,0,0,0
215490211,inf,1,0,0,0
216505326,inf,1,0,0,0
217515407,inf,1,0,0,0
218522321,inf,1,0,0,0
219526329,inf,1,0,0,0
220536149,inf,1,0,0,0
221547365,inf,1,0,0,0
222554320,inf,1,0,0,0
223565302,inf,1,0,0,0
224578324,inf,1,0,0,0
225585371,inf,1,0,0,0
226606328,inf,1,0,0,0
227613301,inf,1,0,0,0
228619371,inf,1,0,0,0
229634328,inf,1,0,0,0
230648746,inf,1,0,0,0
231657186,inf,1,0,0,0
232663599,inf,1,0,0,0
233671369,inf,1,0,0,0
234677821,inf,1,0,0,0
235691610,inf,1,0,0,0
236703125,inf,1,0,0,0
237712290,inf,1,0,0,0
238714290,inf,1,0,0,0
239732324,inf,1,0,0,0
240733993,inf,1,0,0,0
241748602,inf,1,0,0,0
242762420,inf,1,0,0,0
243774296,inf,1,0,0,0
244785776,inf,1,0,0,0
245788340,inf,1,0,0,0
246795158,inf,1,0,0,0
247803730,inf,1,0,0,0
248816292,inf,1,0,0,0
249826262,inf,1,0,0,0
250837321,inf,1,0,0,0
251849333,inf,1,0,0,0
252862292,inf,1,0,0,0
253868291,inf,1,0,0,0
254885320,inf,1,0,0,0
255889848,inf,1,0,0,0
256900628,inf,1,0,0,0
257908291,inf,1,0,0,0
258915394,inf,1,0,0,0
259927729,inf,1,0,0,0
260934971,inf,1,0,0,0
261941454,inf,1,0,0,0
262948834,inf,1,0,0,0
263951418,inf,1,0,0,0
264953459,inf,1,0,0,0
265963847,inf,1,0,0,0
266971583,inf,1,0,0,0
267979338,inf,1,0,0,0
268996334,inf,1,0,0,0
270000319,inf,1,0,0,0
271009324,inf,1,0,0,0
272027795,inf,1,0,0,0
273038025,inf,1,0,0,0
274046447,inf,1,0,0,0
275053292,inf,1,0,0,0
276061657,inf,1,0,0,0
277080405,inf,1,0,0,0
278090611,inf,1,0,0,0
279097907,inf,1,0,0,0
280109296,inf,1,0,0,0
281111396,inf,1,0,0,0
282124575,inf,1,0,0,0
283139812,inf,1,0,0,0
284150398,inf,1,0,0,0
285157324,inf,1,0,0,0
286168319,inf,1,0,0,0
287179479,inf,1,0,0,0
288193320,inf,1,0,0,0
289206052,inf,1,0,0,0
290211606,inf,1,0,0,0
291222301,inf,1,0,0,0
292236302,inf,1,0,0,0
293254321,inf,1,0,0,0
294265320,inf,1,0,0,0
295009229,inf,0,0,1,0
295069827,inf,0,0,0,0
296072332,inf,0,0,0,0
297089597,inf,0,0,0,0
298092961,inf,0,0,0,0
299108308,inf,0,0,0,0
300115345,inf,0,0,0,0
301132345,inf,0,0,0,0
302138305,inf,0,0,0,0
303143774,inf,0,0,0,0
304156326,inf,0,0,0,0
305166099,inf,0,0,0,0
306174329,inf,0,0,0,0
307186213,inf,0,0,0,0
307618780,inf,0,0,1,0
307905295,inf,0,0,0,1
308233458,inf,1,0,0,0
309241609,inf,1,0,0,0
310258303,inf,1,0,0,0
311265320,inf,1,0,0,0
312265773,inf,1,0,0,0
313276566,inf,1,0,0,0
314281180,inf,1,0,0,0
315295443,inf,1,0,0,0
316305020,inf,1,0,0,0
317319880,inf,1,0,0,0
318328158,inf,1,0,0,0
319334178,inf,1,0,0,0
320341176,inf,1,0,0,0
321346191,inf,1,0,0,0
322357159,inf,1,0,0,0
323372186,inf,1,0,0,0
324377146,inf,1,0,0,0
326402079,inf,1,0,0,0
327412644,inf,1,0,0,0
328428439,inf,1,0,0,0
329443185,inf,1,0,0,0
330457187,inf,1,0,0,0
331466139,inf,1,0,0,0
332478186,inf,1,0,0,0
333491148,inf,1,0,0,0
334510586,inf,1,0,0,0
335524219,inf,1,0,0,0
336532199,inf,1,0,0,0
337537159,inf,1,0,0,0
338552227,inf,1,0,0,0
339565401,inf,1,0,0,0
340575884,inf,1,0,0,0
341591178,inf,1,0,0,0
342598201,inf,1,0,0,0
343607371,inf,1,0,0,0
344617776,inf,1,0,0,0
345623710,inf,1,0,0,0
346630271,inf,1,0,0,0
347639157,inf,1,0,0,0
348644221,inf,1,0,0,0
349649260,inf,1,0,0,0
350653186,inf,1,0,0,0
351666229,inf,1,0,0,0
352680205,inf,1,0,0,0
353684186,inf,1,0,0,0
354692445,inf,1,0,0,0
355703497,inf,1,0,0,0
356710206,inf,1,0,0,0
357721146,inf,1,0,0,0
358728159,inf,1,0,0,0
359743176,inf,1,0,0,0
360746618,inf,1,0,0,0
361754175,inf,1,0,0,0
362761191,inf,1,0,0,0
363766202,inf,1,0,0,0
364772231,inf,1,0,0,0
365780197,inf,1,0,0,0
366785183,inf,1,0,0,0
367795878,inf,1,0,0,0
368805955,inf,1,0,0,0
369826164,inf,1,0,0,0
370834197,inf,1,0,0,0
371843183,inf,1,0,0,0
372848227,inf,1,0,0,0
373859187,inf,1,0,0,0
374867680,inf,1,0,0,0
