timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
147330004,10.71398,10.655576,0.0,0.0,0.0,0.0,0.5519255,1.103802,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
147836431,10.561141,10.656433,0.0,0.0,0.0,0.0,0.5422686,1.1062768,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
148329227,10.851534,10.643147,0.0,0.0,0.0,0.0,0.53260833,1.1087637,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
148834009,10.790399,10.6678705,0.0,0.0,0.0,0.0,0.5414923,1.1064762,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
149339232,10.805682,10.656948,0.0,0.0,0.0,0.0,0.53925973,1.1070502,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
149831617,10.759831,10.633797,0.0,0.0,0.0,0.0,0.53258353,1.1087701,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
150337242,10.775115,10.650646,0.0,0.0,0.0,0.0,0.54053813,1.1067215,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
150842037,10.194328,10.6782,0.0,0.0,0.0,0.0,0.5526069,1.1036277,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
151334823,10.912669,10.659532,0.0,0.0,0.0,0.0,0.5464018,1.1052161,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
151839624,10.83625,10.657971,0.0,0.0,0.0,0.0,0.54710895,1.105035,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
152344616,10.744547,10.657684,0.0,0.0,0.0,0.0,0.5472124,1.1050084,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
152837225,10.561141,10.6543255,0.0,0.0,0.0,0.0,0.5513986,1.1039367,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
153342043,10.698696,10.6081295,0.0,0.0,0.0,0.0,0.54377776,1.1058893,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
153834831,10.805682,10.567109,0.0,0.0,0.0,0.0,0.53714114,1.1075953,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
154340444,10.698696,10.569492,0.0,0.0,0.0,0.0,0.54136974,1.1065078,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
154845237,10.163761,10.573844,0.0,0.0,0.0,0.0,0.53756124,1.1074873,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
155338013,10.163761,10.581967,0.0,0.0,0.0,0.0,0.5366567,1.1077201,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
155842802,10.820967,10.588692,0.0,0.0,0.0,0.0,0.53577405,1.1079475,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
156347609,10.943237,10.632483,0.0,0.0,0.0,0.0,0.5497549,1.1043572,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
156842421,10.087341,10.612424,0.0,0.0,0.0,0.0,0.5393804,1.1070192,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
157346817,10.805682,10.602471,0.0,0.0,0.0,0.0,0.53212243,1.1088891,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
157851758,10.683412,10.597911,0.0,0.0,0.0,0.0,0.5245736,1.1108407,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
158344655,10.072058,10.632275,0.0,0.0,0.0,0.0,0.5349811,1.1081518,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
158849230,10.591709,10.634773,0.0,0.0,0.0,0.0,0.5355151,1.1080142,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
159353996,10.912669,10.60897,0.0,0.0,0.0,0.0,0.52624875,1.110407,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
159846802,10.3166,10.617634,0.0,0.0,0.0,0.0,0.53091365,1.1092011,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
