timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
68755248,32767,32767,32767,32767,32767,32767,32767
68759248,32767,32767,32767,32767,-55,32767,32767
68763247,32767,32767,32767,32767,32767,32767,32767
68767248,32767,32767,32767,32767,32767,32767,32767
68771247,32767,32767,32767,32767,32767,-62,32767
68775248,32767,32767,32767,32767,32767,32767,32767
68779248,32767,32767,32767,32767,32767,32767,32767
68783248,32767,32767,32767,32767,-58,32767,32767
68787248,32767,32767,32767,32767,32767,32767,32767
68791248,32767,32767,32767,32767,32767,32767,32767
68795248,32767,32767,32767,32767,-54,-63,32767
68799248,32767,32767,32767,32767,32767,32767,32767
68803248,32767,32767,32767,32767,32767,32767,32767
68807248,32767,32767,32767,32767,-67,32767,32767
68811248,32767,32767,32767,32767,32767,32767,32767
68815247,32767,32767,32767,32767,32767,32767,32767
68819248,32767,32767,32767,32767,32767,-82,32767
68823248,32767,32767,32767,32767,32767,32767,32767
68827248,32767,32767,32767,32767,-48,32767,32767
68831248,32767,32767,32767,32767,32767,32767,32767
68835247,32767,32767,32767,32767,32767,32767,32767
68839248,32767,32767,32767,32767,-54,-62,32767
68843247,32767,32767,32767,32767,32767,32767,32767
68847248,32767,32767,32767,32767,32767,32767,32767
68851248,32767,32767,32767,32767,-67,32767,32767
68855248,32767,32767,32767,32767,32767,32767,32767
68859248,32767,32767,32767,32767,32767,32767,32767
68863248,32767,32767,32767,32767,32767,-82,32767
68867248,32767,32767,32767,32767,32767,32767,32767
68871247,32767,32767,32767,32767,32767,32767,32767
68875247,32767,32767,32767,32767,-73,32767,32767
68879248,32767,32767,32767,32767,32767,32767,32767
68883248,32767,32767,-62,32767,-43,-51,32767
68887248,32767,32767,32767,32767,32767,32767,32767
68891247,32767,32767,32767,32767,32767,32767,32767
68895248,32767,32767,32767,32767,-59,32767,32767
68899248,32767,32767,32767,32767,32767,32767,32767
68903248,32767,32767,32767,32767,32767,32767,32767
68907248,32767,32767,32767,32767,32767,-71,32767
68911258,32767,32767,32767,32767,32767,32767,32767
68915248,32767,32767,32767,32767,32767,32767,32767
68919248,32767,32767,32767,32767,-57,32767,32767
68923248,32767,32767,32767,32767,32767,32767,32767
68927248,32767,32767,32767,32767,32767,32767,32767
68931248,32767,32767,32767,32767,-62,-71,32767
68935248,32767,32767,32767,32767,32767,32767,32767
68939248,32767,32767,32767,32767,32767,32767,32767
68943247,32767,32767,32767,32767,-50,32767,32767
68947248,32767,32767,32767,32767,32767,32767,32767
68951248,32767,32767,32767,32767,32767,32767,32767
68955248,32767,32767,32767,32767,32767,-70,32767
68959247,32767,32767,32767,32767,32767,32767,32767
68963248,32767,32767,32767,32767,32767,32767,32767
68967248,32767,32767,32767,32767,-61,32767,32767
68971248,32767,32767,32767,32767,32767,32767,32767
68975248,32767,32767,32767,32767,32767,32767,32767
68979248,32767,32767,32767,32767,-62,-71,32767
68983248,32767,32767,32767,32767,32767,32767,32767
68987248,32767,32767,32767,32767,32767,32767,32767
68991248,32767,32767,32767,32767,-70,32767,32767
68995248,32767,32767,32767,32767,32767,32767,32767
68999248,32767,32767,32767,32767,32767,-62,32767
69003247,32767,32767,32767,32767,32767,32767,32767
69007250,32767,32767,32767,32767,32767,32767,32767
69011248,32767,32767,32767,32767,-52,32767,32767
69016048,32767,32767,32767,32767,32767,32767,32767
69020048,32767,32767,32767,32767,32767,-50,32767
69024048,32767,32767,32767,32767,-69,32767,32767
69028055,32767,32767,32767,32767,32767,32767,32767
69032048,32767,32767,32767,32767,-37,32767,32767
69036048,32767,32767,32767,32767,32767,32767,32767
69040048,32767,32767,32767,32767,32767,32767,32767
69044047,32767,32767,32767,32767,32767,-70,32767
69048049,32767,32767,32767,32767,32767,32767,32767
69052056,32767,32767,32767,32767,32767,32767,32767
69056049,32767,32767,32767,32767,-61,32767,32767
69060049,32767,32767,32767,32767,32767,32767,32767
69064048,32767,32767,32767,32767,32767,32767,32767
69068050,32767,32767,32767,32767,-67,-77,32767
69072048,32767,32767,32767,32767,32767,32767,32767
69076048,32767,32767,32767,32767,-47,32767,32767
69080048,32767,32767,32767,32767,32767,32767,32767
69084056,32767,32767,-95,32767,32767,32767,32767
69088048,32767,32767,32767,32767,32767,-60,32767
69092048,32767,32767,32767,32767,32767,32767,32767
69096049,32767,32767,32767,32767,32767,32767,32767
69100050,32767,32767,32767,32767,-73,32767,32767
69104048,32767,32767,32767,32767,32767,32767,32767
69108049,32767,32767,32767,32767,-41,-50,32767
69112049,32767,32767,32767,32767,32767,32767,32767
69116048,32767,32767,32767,32767,32767,32767,32767
69120048,32767,32767,32767,32767,-55,32767,32767
69124054,32767,32767,32767,32767,32767,32767,32767
69128048,32767,32767,32767,32767,32767,32767,32767
69132052,32767,32767,32767,32767,32767,-70,32767
69136048,32767,32767,32767,32767,32767,32767,32767
69140047,32767,32767,32767,32767,-45,32767,32767
69144048,32767,32767,32767,32767,32767,32767,32767
69148048,32767,32767,32767,32767,32767,32767,32767
69152049,32767,32767,32767,32767,-51,-59,32767
69156048,32767,32767,32767,32767,32767,32767,32767
69160047,32767,32767,32767,32767,32767,32767,32767
69164049,32767,32767,32767,32767,-67,32767,32767
69168067,32767,32767,32767,32767,32767,32767,32767
69172048,32767,32767,32767,32767,32767,-49,32767
69176048,32767,32767,32767,32767,32767,32767,32767
69180050,32767,32767,32767,32767,32767,32767,32767
69184047,32767,32767,32767,32767,-47,32767,32767
69188050,32767,32767,32767,32767,32767,32767,32767
69192048,32767,32767,32767,32767,32767,32767,32767
69196049,32767,32767,32767,32767,-51,-60,32767
69200048,32767,32767,32767,32767,32767,32767,32767
69204048,32767,32767,32767,32767,32767,32767,32767
69208048,32767,32767,32767,32767,-66,32767,32767
69212052,32767,32767,32767,32767,32767,32767,32767
69216048,32767,32767,32767,32767,32767,-50,32767
69220052,32767,32767,32767,32767,32767,32767,32767
69224048,32767,32767,32767,32767,32767,32767,32767
69228048,32767,32767,32767,32767,-56,32767,32767
69232056,32767,32767,32767,32767,32767,32767,32767
69236065,32767,32767,32767,32767,32767,32767,32767
69240048,32767,32767,32767,32767,-67,-77,32767
69244048,32767,32767,32767,32767,32767,32767,32767
69248048,32767,32767,32767,32767,-43,32767,32767
69252050,32767,32767,32767,32767,32767,32767,32767
69256048,32767,32767,32767,32767,32767,32767,32767
69260048,32767,32767,32767,32767,32767,-50,32767
69264048,32767,32767,32767,32767,32767,32767,32767
69268048,32767,32767,32767,32767,32767,32767,32767
69272048,32767,32767,32767,32767,-50,32767,32767
69276052,32767,32767,32767,32767,32767,32767,32767
69280051,32767,32767,-99,32767,32767,32767,32767
69284048,32767,32767,32767,32767,-58,-67,32767
69288048,32767,32767,32767,32767,32767,32767,32767
69292053,32767,32767,32767,32767,32767,32767,32767
69296048,32767,32767,32767,32767,-67,32767,32767
69300049,32767,32767,32767,32767,32767,32767,32767
69304048,32767,32767,32767,32767,32767,32767,32767
69308048,32767,32767,32767,32767,32767,-67,32767
69312055,32767,32767,32767,32767,32767,32767,32767
69316047,32767,32767,32767,32767,32767,32767,32767
69320059,32767,32767,32767,32767,-65,32767,32767
69324056,32767,32767,32767,32767,32767,32767,32767
69328050,32767,32767,32767,32767,32767,32767,32767
69332048,32767,32767,32767,32767,-58,-67,32767
69336065,32767,32767,32767,32767,32767,32767,32767
69340050,32767,32767,32767,32767,32767,32767,32767
69344047,32767,32767,32767,32767,-65,32767,32767
69348065,32767,32767,32767,32767,32767,32767,32767
69352047,32767,32767,32767,32767,32767,32767,32767
69356047,32767,32767,32767,32767,32767,-67,32767
69360056,32767,32767,32767,32767,32767,32767,32767
69364050,32767,32767,32767,32767,32767,32767,32767
69368048,32767,32767,32767,32767,-63,32767,32767
69372048,32767,32767,32767,32767,32767,32767,32767
69376047,32767,32767,32767,32767,32767,32767,32767
69380062,32767,32767,32767,32767,-71,-81,32767
69384048,32767,32767,32767,32767,32767,32767,32767
69388056,32767,32767,32767,32767,-53,32767,32767
69392051,32767,32767,32767,32767,32767,32767,32767
69396048,32767,32767,32767,32767,32767,32767,32767
69400049,32767,32767,32767,32767,32767,-61,32767
69404063,32767,32767,32767,32767,32767,32767,32767
69408048,32767,32767,32767,32767,32767,32767,32767
69412048,32767,32767,32767,32767,-68,32767,32767
69416049,32767,32767,32767,32767,32767,32767,32767
69420049,32767,32767,32767,32767,32767,32767,32767
69424048,32767,32767,32767,32767,-68,-77,32767
69428048,32767,32767,32767,32767,32767,32767,32767
69432048,32767,32767,32767,32767,32767,32767,32767
69436049,32767,32767,32767,32767,-73,32767,32767
69440048,32767,32767,32767,32767,32767,32767,32767
69444048,32767,32767,32767,32767,32767,-50,32767
69448063,32767,32767,32767,32767,32767,32767,32767
69452848,32767,32767,32767,32767,32767,32767,32767
69456848,32767,32767,32767,32767,-72,32767,32767
69460848,32767,32767,32767,32767,32767,32767,32767
69464848,32767,32767,32767,32767,-36,-49,32767
69468848,32767,32767,32767,32767,32767,32767,32767
69472848,32767,32767,32767,32767,32767,32767,32767
69476848,32767,32767,32767,32767,-43,32767,32767
69480848,32767,32767,32767,32767,32767,32767,32767
69484848,32767,32767,-67,32767,32767,32767,32767
69488848,32767,32767,32767,32767,32767,-59,32767
69492848,32767,32767,32767,32767,32767,32767,32767
69496848,32767,32767,32767,32767,32767,32767,32767
69500848,32767,32767,32767,32767,-66,32767,32767
69504848,32767,32767,32767,32767,32767,32767,32767
69508848,32767,32767,32767,32767,32767,32767,32767
69512848,32767,32767,32767,32767,-59,-69,32767
69516853,32767,32767,32767,32767,32767,32767,32767
69520848,32767,32767,32767,32767,-40,32767,32767
69524848,32767,32767,32767,32767,32767,32767,32767
69528848,32767,32767,32767,32767,32767,32767,32767
69532848,32767,32767,32767,32767,32767,-49,32767
69536848,32767,32767,32767,32767,32767,32767,32767
69540848,32767,32767,32767,32767,32767,32767,32767
69544847,32767,32767,32767,32767,-44,32767,32767
69548848,32767,32767,32767,32767,32767,32767,32767
69552848,32767,32767,32767,32767,32767,32767,32767
69556848,32767,32767,32767,32767,-54,-62,32767
69560848,32767,32767,32767,32767,32767,32767,32767
69564848,32767,32767,32767,32767,32767,32767,32767
69568848,32767,32767,32767,32767,-62,32767,32767
69572847,32767,32767,32767,32767,32767,32767,32767
69576848,32767,32767,32767,32767,32767,32767,32767
69580848,32767,32767,32767,32767,32767,-64,32767
69584848,32767,32767,32767,32767,32767,32767,32767
69588848,32767,32767,32767,32767,32767,32767,32767
69592848,32767,32767,32767,32767,-57,32767,32767
69596848,32767,32767,32767,32767,32767,32767,32767
69600848,32767,32767,32767,32767,32767,32767,32767
69604848,32767,32767,32767,32767,-63,-73,32767
69608848,32767,32767,32767,32767,32767,32767,32767
69612848,32767,32767,32767,32767,32767,32767,32767
69616848,32767,32767,32767,32767,-63,32767,32767
69620848,32767,32767,32767,32767,32767,32767,32767
69624848,32767,32767,32767,32767,32767,32767,32767
69628848,32767,32767,32767,32767,32767,-73,32767
69632848,32767,32767,32767,32767,32767,32767,32767
69636848,32767,32767,32767,32767,32767,32767,32767
69640848,32767,32767,32767,32767,-64,32767,32767
69644848,32767,32767,32767,32767,32767,32767,32767
69648848,32767,32767,32767,32767,32767,32767,32767
69652848,32767,32767,32767,32767,-65,-73,32767
69656848,32767,32767,32767,32767,32767,32767,32767
69660848,32767,32767,32767,32767,32767,32767,32767
69664848,32767,32767,32767,32767,-67,32767,32767
69668848,32767,32767,32767,32767,32767,32767,32767
69672848,32767,32767,32767,32767,32767,32767,32767
69676848,32767,32767,32767,32767,32767,-86,32767
69680848,32767,32767,32767,32767,32767,32767,32767
69684852,32767,32767,-106,32767,-44,32767,32767
69688848,32767,32767,32767,32767,32767,32767,32767
69692848,32767,32767,32767,32767,32767,32767,32767
69696848,32767,32767,32767,32767,-49,-58,32767
69700848,32767,32767,32767,32767,32767,32767,32767
69704848,32767,32767,32767,32767,32767,32767,32767
69708847,32767,32767,32767,32767,-64,32767,32767
69712848,32767,32767,32767,32767,32767,32767,32767
69716848,32767,32767,32767,32767,32767,32767,32767
69720848,32767,32767,32767,32767,32767,-70,32767
69724848,32767,32767,32767,32767,32767,32767,32767
69728848,32767,32767,32767,32767,32767,32767,32767
69732848,32767,32767,32767,32767,-69,32767,32767
69736848,32767,32767,32767,32767,32767,32767,32767
69740848,32767,32767,32767,32767,32767,32767,32767
69744848,32767,32767,32767,32767,-70,-87,32767
69748848,32767,32767,32767,32767,32767,32767,32767
69752848,32767,32767,32767,32767,-44,32767,32767
69756848,32767,32767,32767,32767,32767,32767,32767
69760848,32767,32767,32767,32767,32767,32767,32767
69764848,32767,32767,32767,32767,32767,-58,32767
69768848,32767,32767,32767,32767,32767,32767,32767
69772848,32767,32767,32767,32767,32767,32767,32767
69776848,32767,32767,32767,32767,-63,32767,32767
69780856,32767,32767,32767,32767,32767,32767,32767
69784848,32767,32767,32767,32767,32767,32767,32767
69788848,32767,32767,32767,32767,-63,-72,32767
69792848,32767,32767,32767,32767,32767,32767,32767
69796848,32767,32767,32767,32767,32767,32767,32767
69800848,32767,32767,32767,32767,-64,32767,32767
69804848,32767,32767,32767,32767,32767,32767,32767
69808848,32767,32767,32767,32767,32767,32767,32767
69812848,32767,32767,32767,32767,32767,-73,32767
69816848,32767,32767,32767,32767,32767,32767,32767
69820848,32767,32767,32767,32767,32767,32767,32767
69824861,32767,32767,32767,32767,-65,32767,32767
69828848,32767,32767,32767,32767,32767,32767,32767
69832848,32767,32767,32767,32767,32767,32767,32767
69836848,32767,32767,32767,32767,-63,-73,32767
69840848,32767,32767,32767,32767,32767,32767,32767
69844848,32767,32767,32767,32767,32767,32767,32767
69848848,32767,32767,32767,32767,-67,32767,32767
69852848,32767,32767,32767,32767,32767,32767,32767
69856848,32767,32767,32767,32767,32767,32767,32767
69860848,32767,32767,32767,32767,32767,-73,32767
69864854,32767,32767,32767,32767,32767,32767,32767
69868848,32767,32767,32767,32767,-43,32767,32767
69872848,32767,32767,32767,32767,32767,32767,32767
69877648,32767,32767,32767,32767,32767,32767,32767
69881648,32767,32767,-115,32767,-57,-66,32767
69885659,32767,32767,32767,32767,32767,32767,32767
69889648,32767,32767,32767,32767,-43,32767,32767
69893648,32767,32767,32767,32767,32767,32767,32767
69897648,32767,32767,32767,32767,32767,32767,32767
69901648,32767,32767,32767,32767,32767,-55,32767
69905648,32767,32767,32767,32767,32767,32767,32767
69909648,32767,32767,32767,32767,32767,32767,32767
69913660,32767,32767,32767,32767,-61,32767,32767
69917648,32767,32767,32767,32767,32767,32767,32767
69921648,32767,32767,32767,32767,32767,32767,32767
69925648,32767,32767,32767,32767,-65,-73,32767
69929649,32767,32767,32767,32767,32767,32767,32767
69933648,32767,32767,32767,32767,32767,32767,32767
69937648,32767,32767,32767,32767,-59,32767,32767
69941660,32767,32767,32767,32767,32767,32767,32767
69945648,32767,32767,32767,32767,32767,32767,32767
69949648,32767,32767,32767,32767,32767,-73,32767
69953648,32767,32767,32767,32767,32767,32767,32767
69957648,32767,32767,32767,32767,-43,32767,32767
69961648,32767,32767,32767,32767,32767,32767,32767
69965648,32767,32767,32767,32767,32767,32767,32767
69969660,32767,32767,32767,32767,-47,-55,32767
69973648,32767,32767,32767,32767,32767,32767,32767
69977648,32767,32767,32767,32767,32767,32767,32767
69981648,32767,32767,32767,32767,-70,32767,32767
69985648,32767,32767,32767,32767,32767,32767,32767
69989648,32767,32767,32767,32767,32767,32767,32767
69993648,32767,32767,32767,32767,32767,-86,32767
69997660,32767,32767,32767,32767,32767,32767,32767
70001648,32767,32767,32767,32767,-42,32767,32767
70005683,32767,32767,32767,32767,32767,32767,32767
70009648,32767,32767,32767,32767,32767,32767,32767
70013648,32767,32767,32767,32767,-47,-55,32767
70017648,32767,32767,32767,32767,32767,32767,32767
70021648,32767,32767,32767,32767,32767,32767,32767
70025660,32767,32767,32767,32767,-63,32767,32767
70029648,32767,32767,32767,32767,32767,32767,32767
70033648,32767,32767,32767,32767,32767,32767,32767
70037648,32767,32767,32767,32767,32767,-86,32767
70041648,32767,32767,32767,32767,32767,32767,32767
70045648,32767,32767,32767,32767,-43,32767,32767
70049648,32767,32767,32767,32767,32767,32767,32767
70053659,32767,32767,32767,32767,32767,32767,32767
70057648,32767,32767,32767,32767,-57,-66,32767
70061648,32767,32767,32767,32767,32767,32767,32767
70065648,32767,32767,32767,32767,32767,32767,32767
70069648,32767,32767,32767,32767,-70,32767,32767
70073648,32767,32767,32767,32767,32767,32767,32767
70077648,32767,32767,32767,32767,32767,32767,32767
70081660,32767,32767,32767,32767,32767,-86,32767
70085648,32767,32767,-102,32767,32767,32767,32767
70089648,32767,32767,32767,32767,-43,32767,32767
70093648,32767,32767,32767,32767,32767,32767,32767
70097648,32767,32767,32767,32767,32767,32767,32767
70101648,32767,32767,32767,32767,-57,-66,32767
70105648,32767,32767,32767,32767,32767,32767,32767
70109660,32767,32767,32767,32767,32767,32767,32767
70113649,32767,32767,32767,32767,-66,32767,32767
70117648,32767,32767,32767,32767,32767,32767,32767
70121648,32767,32767,32767,32767,32767,32767,32767
70125648,32767,32767,32767,32767,32767,-86,32767
70129648,32767,32767,32767,32767,32767,32767,32767
70133648,32767,32767,32767,32767,-43,32767,32767
70137659,32767,32767,32767,32767,32767,32767,32767
70141648,32767,32767,32767,32767,32767,32767,32767
70145648,32767,32767,32767,32767,-46,-55,32767
70149648,32767,32767,32767,32767,32767,32767,32767
70153648,32767,32767,32767,32767,32767,32767,32767
70157648,32767,32767,32767,32767,-63,32767,32767
70161648,32767,32767,32767,32767,32767,32767,32767
70165660,32767,32767,32767,32767,32767,32767,32767
70169648,32767,32767,32767,32767,32767,-70,32767
70173648,32767,32767,32767,32767,32767,32767,32767
70177648,32767,32767,32767,32767,-43,32767,32767
70181648,32767,32767,32767,32767,32767,32767,32767
70185648,32767,32767,32767,32767,32767,32767,32767
70189648,32767,32767,32767,32767,-47,-55,32767
70193660,32767,32767,32767,32767,32767,32767,32767
70197648,32767,32767,32767,32767,32767,32767,32767
70201648,32767,32767,32767,32767,-65,32767,32767
70205647,32767,32767,32767,32767,32767,32767,32767
70209648,32767,32767,32767,32767,32767,32767,32767
70213648,32767,32767,32767,32767,32767,-86,32767
70217648,32767,32767,32767,32767,32767,32767,32767
70221660,32767,32767,32767,32767,-42,32767,32767
70225648,32767,32767,32767,32767,32767,32767,32767
70229648,32767,32767,32767,32767,32767,32767,32767
70233648,32767,32767,32767,32767,-47,-55,32767
70237648,32767,32767,32767,32767,32767,32767,32767
70241648,32767,32767,32767,32767,32767,32767,32767
70245648,32767,32767,32767,32767,-70,32767,32767
70249660,32767,32767,32767,32767,32767,32767,32767
70253648,32767,32767,32767,32767,32767,32767,32767
70257648,32767,32767,32767,32767,32767,-86,32767
70261648,32767,32767,32767,32767,32767,32767,32767
70265648,32767,32767,32767,32767,-42,32767,32767
70269648,32767,32767,32767,32767,32767,32767,32767
70273648,32767,32767,32767,32767,32767,32767,32767
70277660,32767,32767,32767,32767,-47,-55,32767
70281648,32767,32767,32767,32767,32767,32767,32767
70285648,32767,32767,-105,32767,32767,32767,32767
70289648,32767,32767,32767,32767,-65,32767,32767
70293648,32767,32767,32767,32767,32767,32767,32767
70297648,32767,32767,32767,32767,32767,32767,32767
70301648,32767,32767,32767,32767,32767,-71,32767
70305660,32767,32767,32767,32767,32767,32767,32767
70310448,32767,32767,32767,32767,32767,32767,32767
70314460,32767,32767,32767,32767,-69,32767,32767
70318448,32767,32767,32767,32767,32767,32767,32767
70322448,32767,32767,32767,32767,-46,-54,32767
70326448,32767,32767,32767,32767,32767,32767,32767
70330448,32767,32767,32767,32767,32767,32767,32767
70334462,32767,32767,32767,32767,-60,32767,32767
70338448,32767,32767,32767,32767,32767,32767,32767
70342448,32767,32767,32767,32767,32767,32767,32767
70346448,32767,32767,32767,32767,32767,-70,32767
70350448,32767,32767,32767,32767,32767,32767,32767
70354498,32767,32767,32767,32767,32767,32767,32767
70358448,32767,32767,32767,32767,-70,32767,32767
70362448,32767,32767,32767,32767,32767,32767,32767
70366448,32767,32767,32767,32767,32767,32767,32767
70370449,32767,32767,32767,32767,-70,-83,32767
70374465,32767,32767,32767,32767,32767,32767,32767
70378448,32767,32767,32767,32767,-40,32767,32767
70382448,32767,32767,32767,32767,32767,32767,32767
70386448,32767,32767,32767,32767,32767,32767,32767
70390448,32767,32767,32767,32767,32767,-63,32767
70394462,32767,32767,32767,32767,32767,32767,32767
70398448,32767,32767,32767,32767,32767,32767,32767
70402448,32767,32767,32767,32767,-60,32767,32767
70406448,32767,32767,32767,32767,32767,32767,32767
70410448,32767,32767,32767,32767,32767,32767,32767
70414463,32767,32767,32767,32767,-61,-70,32767
70418448,32767,32767,32767,32767,32767,32767,32767
70422448,32767,32767,32767,32767,-40,32767,32767
70426448,32767,32767,32767,32767,32767,32767,32767
70430448,32767,32767,32767,32767,32767,32767,32767
70434461,32767,32767,32767,32767,32767,-54,32767
70438448,32767,32767,32767,32767,32767,32767,32767
70442448,32767,32767,32767,32767,32767,32767,32767
70446448,32767,32767,32767,32767,-70,32767,32767
70450448,32767,32767,32767,32767,32767,32767,32767
70454461,32767,32767,32767,32767,32767,32767,32767
70458448,32767,32767,32767,32767,-69,-84,32767
70462448,32767,32767,32767,32767,32767,32767,32767
70466448,32767,32767,32767,32767,-51,32767,32767
70470448,32767,32767,32767,32767,32767,32767,32767
70474463,32767,32767,32767,32767,32767,32767,32767
70478448,32767,32767,32767,32767,32767,-63,32767
70482459,32767,32767,32767,32767,32767,32767,32767
70486448,32767,32767,32767,32767,-40,32767,32767
70490448,32767,32767,-94,32767,32767,32767,32767
70494462,32767,32767,32767,32767,32767,32767,32767
70498448,32767,32767,32767,32767,-46,-54,32767
70502448,32767,32767,32767,32767,32767,32767,32767
70506448,32767,32767,32767,32767,32767,32767,32767
70510448,32767,32767,32767,32767,-60,32767,32767
70514462,32767,32767,32767,32767,32767,32767,32767
70518448,32767,32767,32767,32767,32767,32767,32767
70522448,32767,32767,32767,32767,32767,-70,32767
70526448,32767,32767,32767,32767,32767,32767,32767
70530456,32767,32767,32767,32767,32767,32767,32767
70534463,32767,32767,32767,32767,-67,32767,32767
70538448,32767,32767,32767,32767,32767,32767,32767
70542447,32767,32767,32767,32767,32767,32767,32767
70546448,32767,32767,32767,32767,-66,-84,32767
70550448,32767,32767,32767,32767,32767,32767,32767
70554463,32767,32767,32767,32767,32767,32767,32767
70558448,32767,32767,32767,32767,-73,32767,32767
70562448,32767,32767,32767,32767,32767,32767,32767
70566448,32767,32767,32767,32767,32767,32767,32767
70570448,32767,32767,32767,32767,32767,-84,32767
70574469,32767,32767,32767,32767,32767,32767,32767
70578448,32767,32767,32767,32767,-40,32767,32767
70582448,32767,32767,32767,32767,32767,32767,32767
70586448,32767,32767,32767,32767,32767,32767,32767
70590448,32767,32767,32767,32767,-55,-63,32767
70594463,32767,32767,32767,32767,32767,32767,32767
70598483,32767,32767,32767,32767,32767,32767,32767
70602448,32767,32767,32767,32767,-65,32767,32767
70606448,32767,32767,32767,32767,32767,32767,32767
70610448,32767,32767,32767,32767,32767,32767,32767
70614462,32767,32767,32767,32767,32767,-84,32767
70618451,32767,32767,32767,32767,32767,32767,32767
70622448,32767,32767,32767,32767,-40,32767,32767
70626448,32767,32767,32767,32767,32767,32767,32767
70630448,32767,32767,32767,32767,32767,32767,32767
70634462,32767,32767,32767,32767,-55,-63,32767
70638448,32767,32767,32767,32767,32767,32767,32767
70642448,32767,32767,32767,32767,32767,32767,32767
70646448,32767,32767,32767,32767,-70,32767,32767
70650448,32767,32767,32767,32767,32767,32767,32767
70654482,32767,32767,32767,32767,32767,32767,32767
70658448,32767,32767,32767,32767,32767,-84,32767
70662448,32767,32767,32767,32767,32767,32767,32767
70666448,32767,32767,32767,32767,-40,32767,32767
70670448,32767,32767,32767,32767,32767,32767,32767
70674462,32767,32767,32767,32767,32767,32767,32767
70678448,32767,32767,32767,32767,-54,-63,32767
70682448,32767,32767,-53,32767,32767,32767,32767
70686448,32767,32767,32767,32767,32767,32767,32767
70690448,32767,32767,32767,32767,-65,32767,32767
70694486,32767,32767,32767,32767,32767,32767,32767
70698448,32767,32767,32767,32767,32767,-53,32767
70702448,32767,32767,32767,32767,32767,32767,32767
70706448,32767,32767,32767,32767,32767,32767,32767
70710448,32767,32767,32767,32767,-60,32767,32767
70714462,32767,32767,32767,32767,32767,32767,32767
70718448,32767,32767,32767,32767,32767,32767,32767
70722448,32767,32767,32767,32767,-69,-83,32767
70726448,32767,32767,32767,32767,32767,32767,32767
70730448,32767,32767,32767,32767,-51,32767,32767
70734463,32767,32767,32767,32767,32767,32767,32767
70739248,32767,32767,32767,32767,32767,32767,32767
70743248,32767,32767,32767,32767,32767,-71,32767
70747261,32767,32767,32767,32767,32767,32767,32767
70751248,32767,32767,32767,32767,-47,32767,32767
