timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
223488833,0.05738786,-0.043794964,-1.1171042,0.0,0.8478039,0.012724889,-0.03376132,-0.52908105,0.0,0.0,-0.37741134,1,0,0,0,0,0
223588942,0.050634883,-0.055623207,-1.1171042,0.0,0.84779674,0.0067268023,-0.036984876,-0.5289872,0.0,0.0,-0.37969553,1,0,0,0,0,0
223688953,0.0498275,-0.05446566,-1.1171042,0.0,0.84780526,0.0066914037,-0.03628106,-0.52902275,0.0,0.0,-0.37883946,1,0,0,0,0,0
223788968,0.04352417,-0.056230027,-1.1171042,0.0,0.84781164,0.0035516955,-0.035360944,-0.5291053,0.0,0.0,-0.3660595,1,0,0,0,0,0
223889020,0.030469883,-0.055740792,-1.1171042,0.0,0.8478206,-0.0018524702,-0.03169939,-0.5293316,0.0,0.0,-0.3705362,1,0,0,0,0,0
223989078,0.033481736,-0.06451776,-1.1171042,0.0,0.84774953,-0.0029019215,-0.036214646,-0.5291511,0.0,0.0,-0.37611327,1,0,0,0,0,0
224089153,0.021394378,-0.07421906,-1.1171042,0.0,0.84760135,-0.010595841,-0.037125785,-0.52922714,0.0,0.0,-0.3802469,1,0,0,0,0,0
224189226,0.029924776,-0.06496599,-1.1171042,0.0,0.8477386,-0.004528411,-0.03546338,-0.52920794,0.0,0.0,-0.39257544,1,0,0,0,0,0
224309535,0.029914433,-0.065016404,-1.1171042,0.0,0.8477381,-0.0045461524,-0.035482,-0.5292074,0.0,0.0,-0.40224472,1,0,0,0,0,0
224409335,0.028198767,-0.05721112,-1.1171042,0.0,0.84780586,-0.003204879,-0.031721253,-0.5293475,0.0,0.0,-0.40294814,1,0,0,0,0,0
224509596,0.029565938,-0.055797618,-1.1171042,0.0,0.8478192,-0.0022507205,-0.031484216,-0.52934515,0.0,0.0,-0.4053469,1,0,0,0,0,0
224609381,0.038753804,-0.05586294,-1.1171042,0.0,0.84782016,0.0016267999,-0.03394333,-0.5291939,0.0,0.0,-0.39781183,1,0,0,0,0,0
224709451,0.038750585,-0.052243892,-1.1171042,0.0,0.8478431,0.002584683,-0.03240931,-0.52924955,0.0,0.0,-0.39643916,1,0,0,0,0,0
224809559,0.040933102,-0.05230173,-1.1171042,0.0,0.8478394,0.0034945651,-0.03301134,-0.5292129,0.0,0.0,-0.3941724,1,0,0,0,0,0
