timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
99636195,-0.23169643,-0.14613548,0.3830974
99659162,-0.22870992,-0.14613548,0.37994146
99682046,-0.23169643,-0.14613548,0.37994146
99704130,-0.23169643,-0.14613548,0.37994146
99727095,-0.23468292,-0.14320545,0.3767855
99749054,-0.23169643,-0.14613548,0.37994146
99772130,-0.23468292,-0.14613548,0.3767855
99793046,-0.23468292,-0.14320545,0.37994146
99816136,-0.23766942,-0.14320545,0.37362954
99838661,-0.24065591,-0.14320545,0.37994146
99861173,-0.23766942,-0.14320545,0.3767855
99883406,-0.23766942,-0.14320545,0.3767855
99907185,-0.23766942,-0.14613548,0.36731768
99931357,-0.23766942,-0.14320545,0.37362954
99955405,-0.24065591,-0.14320545,0.3767855
99978415,-0.24065591,-0.14613548,0.37362954
100001047,-0.24065591,-0.14613548,0.37362954
100024130,-0.24065591,-0.14613548,0.37362954
100046676,-0.24364242,-0.14613548,0.37994146
100067359,-0.24065591,-0.14613548,0.37362954
100091325,-0.24065591,-0.14906551,0.3704736
100115342,-0.24065591,-0.14613548,0.37362954
100138382,-0.24065591,-0.14906551,0.3767855
100160993,-0.24364242,-0.14613548,0.37362954
100183437,-0.24364242,-0.14613548,0.3704736
100206180,-0.24364242,-0.14613548,0.37362954
100229118,-0.24364242,-0.14613548,0.3704736
100250180,-0.24065591,-0.14613548,0.37362954
100274168,-0.24364242,-0.14613548,0.3704736
100295468,-0.24364242,-0.14613548,0.3767855
100317047,-0.24364242,-0.14613548,0.3704736
100339497,-0.24065591,-0.14320545,0.3767855
100362169,-0.24364242,-0.14613548,0.3704736
100386162,-0.24364242,-0.14613548,0.3704736
100409047,-0.24662891,-0.14613548,0.36731768
100430047,-0.24065591,-0.14906551,0.37362954
100453058,-0.24364242,-0.14613548,0.3767855
100475207,-0.24364242,-0.14613548,0.3767855
100496132,-0.24662891,-0.14613548,0.3767855
100518047,-0.24662891,-0.14906551,0.37362954
100541047,-0.24364242,-0.14613548,0.37362954
100563137,-0.24662891,-0.14320545,0.37362954
100585047,-0.24662891,-0.14613548,0.36731768
100607046,-0.24662891,-0.14613548,0.3704736
100628210,-0.24364242,-0.14320545,0.3704736
100650047,-0.24364242,-0.14320545,0.37362954
100670132,-0.24364242,-0.14320545,0.37362954
100692020,-0.24364242,-0.14613548,0.36731768
100715053,-0.24364242,-0.14613548,0.3704736
100737376,-0.24364242,-0.14320545,0.37362954
100759778,-0.24065591,-0.14320545,0.37362954
