timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status
158825899,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
159827901,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
160833137,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
161835213,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
162837133,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
163837854,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
164846549,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
165854191,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
166862186,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
167872194,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
168882191,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
169887413,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
170894332,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
171902401,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
172903387,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
173908236,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
174909113,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
175915507,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
176925452,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
177928257,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
178930192,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
179935454,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
180942611,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
181945001,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
182947176,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
183267348,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
184271193,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
185275190,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
186283918,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
187293429,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
188298554,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
189307242,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
190310431,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
191321137,3080239,2162703,3080239,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
191728437,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
191761145,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
192769178,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
193772647,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
194782421,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
195793228,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
196800531,3080239,2162703,3080239,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
