timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
188803018,2,0,121,126,90,45,60
189710131,2,0,121,126,95,53,66
190756159,2,0,121,125,99,46,55
191801120,2,0,121,125,95,43,60
192718687,2,0,127,129,100,46,64
193762137,2,0,134,137,96,41,65
194793119,2,0,134,137,100,49,54
195716752,2,0,133,137,100,49,54
196746227,2,0,133,135,97,49,63
197834133,2,0,133,136,92,51,67
198696570,2,0,133,136,94,45,61
199762144,2,0,133,137,85,39,61
200717081,2,0,133,136,96,45,52
201831354,2,0,133,135,97,46,64
202775204,2,0,130,134,100,58,64
203780193,2,0,132,132,95,53,45
204713069,2,0,136,136,96,50,60
205749063,2,0,146,145,99,36,61
206783153,2,0,150,152,100,48,66
207826159,2,0,155,154,100,49,64
208754131,2,0,157,157,84,48,58
209781364,2,0,157,159,100,53,52
210807097,2,0,157,159,84,51,57
211905129,2,0,157,159,100,52,51
212791100,2,0,157,159,100,49,63
213713114,2,0,157,159,95,49,60
214748157,2,0,157,159,96,42,61
215779173,2,0,149,150,97,50,63
216704154,2,0,159,158,100,50,61
217746131,2,0,168,171,100,48,55
218778587,2,0,166,169,94,112,64
219823108,2,0,165,165,80,52,59
220741065,2,0,165,165,97,42,65
221778363,2,0,165,165,90,55,49
222975104,2,0,165,165,87,54,67
223739584,2,0,165,165,100,47,53
224777068,2,0,165,165,93,49,52
225812290,2,0,165,166,100,112,54
226747341,2,0,165,166,100,45,57
227761313,2,0,165,166,100,47,55
228805226,2,0,165,166,100,51,58
229731106,2,0,165,166,93,50,60
230764254,2,0,165,166,92,44,56
231804130,2,0,165,166,100,44,54
232721068,2,0,167,168,100,64,60
233772240,2,0,168,169,79,47,55
234865832,2,0,168,169,100,43,55
235720237,2,0,168,170,100,44,62
236759106,2,0,168,170,100,44,56
237683644,2,0,168,170,97,50,68
238726136,2,0,168,170,100,43,53
239766136,2,0,168,170,95,49,56
240807110,2,0,168,169,94,49,55
241723113,2,0,168,168,100,49,59
242755152,2,0,168,167,100,50,68
243804155,2,0,168,167,99,42,57
244719152,2,0,168,167,97,44,54
245796578,2,0,168,167,94,46,54
246739155,2,0,168,167,100,40,56
247707949,2,0,168,168,100,47,60
248763113,2,0,168,169,100,48,48
249790130,2,0,163,168,100,48,59
250746128,2,0,153,157,100,41,52
251741069,2,0,143,145,95,49,63
252788156,2,0,122,120,100,41,61
253712151,2,0,122,121,100,45,61
254747106,2,0,114,114,99,41,52
255738136,2,0,110,112,98,49,56
256752974,2,0,106,108,90,47,58
257750585,2,0,106,108,97,47,62
