timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
106260048,-0.06576079,-0.14894915,-0.3968685,-0.10343552,-0.09162903,-0.08343315,0.0013890862,0.0014064163,-0.0013915598,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26609266,0.26606244,0.57323956,1.1697553,1.1703473,4.055839,0.00250676,0.0025091947,0.0025080857,0.09014178,0.0,0.0,0.0,0.0,0.0,0.0003468776,0.013665865,0.04709727,0.0,0.0,0.0,0.0,0.0,0.0
106460848,0.0014451146,0.06892127,-0.3380521,-0.10832596,-0.06801605,-0.053728104,-0.0007535368,0.0040627457,0.005376011,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26605785,0.26600394,0.5732333,1.1698884,1.1704245,4.0562897,0.0025071022,0.0025092033,0.0025077688,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00013355458,0.013759558,0.047778342,0.0,0.0,0.0,0.0,0.0,0.0
106668848,0.00027680397,-0.06632179,-0.4978903,-0.11809921,-0.07006073,-0.80025864,0.0014647245,0.00739393,0.0070524514,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26601866,0.26596075,0.5732963,1.1658142,1.1662846,4.0564365,0.0025074915,0.0025091334,0.0025075367,0.09014178,0.0,0.0,0.0,0.0,0.0,0.0006341913,0.029848617,0.09544196,0.0,0.0,0.0,0.0,0.0,0.0
106869648,0.105831265,-0.006974235,-0.5078101,-0.11378479,-0.054473877,-1.758297,7.042289e-05,0.005222965,0.015324861,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26602036,0.2660372,0.5732933,1.1662394,1.1666304,4.056424,0.0025074854,0.002508998,0.0025073807,0.09014178,0.0,0.0,0.0,0.0,0.0,0.000756023,0.04540318,0.142923,0.0,0.0,0.0,0.0,0.0,0.0
107069660,-0.050127983,0.032433316,-0.3606586,-0.0990181,-0.027816772,-1.2094955,-0.00085924566,0.002203077,0.00781846,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26588848,0.26604792,0.5732162,1.1657027,1.1660109,4.056247,0.002507137,0.0025088394,0.0025072147,0.09014178,0.0,0.0,0.0,0.0,0.0,0.0007298942,0.05156225,0.16616544,0.0,0.0,0.0,0.0,0.0,0.0
107279248,0.118593454,-0.13443771,-0.3550957,-0.09238434,-0.046878815,-1.5741844,-0.002291739,-0.00013362989,0.0053642094,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26591095,0.26622972,0.57319504,1.1657101,1.1659371,4.0561886,0.002506664,0.0025086738,0.0025070761,0.09014178,0.0,0.0,0.0,0.0,0.0,0.0006254175,0.05674277,0.18367715,0.0,0.0,0.0,0.0,0.0,0.0
107479248,0.0050837994,0.08000022,-0.250122,-0.07787323,-0.029327393,-0.5430336,6.900728e-05,-0.00025277957,0.0040327907,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.2659714,0.26639903,0.5731873,1.1636093,1.163768,4.056267,0.0025062591,0.0025085267,0.00250702,0.09014178,0.0,0.0,0.0,0.0,0.0,0.0002193192,0.04119031,0.13815776,0.0,0.0,0.0,0.0,0.0,0.0
107680049,-0.09385228,-0.021906167,-0.20597078,-0.080394745,-0.013557434,-0.6654587,-0.002131641,-0.006708117,0.013388842,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26614597,0.26657045,0.57318133,1.1595461,1.1596525,4.0563993,0.0025059748,0.0025084002,0.0025070128,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00028498308,0.028910955,0.10199016,0.0,0.0,0.0,0.0,0.0,0.0
107888047,0.01920104,-0.019450605,-0.2836995,-0.060344696,-0.01809311,-0.89977646,-0.00027549267,-0.007485047,0.00729841,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26620582,0.26651093,0.57324827,1.155417,1.1554908,4.0562587,0.002505801,0.002508277,0.0025069865,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00066069973,0.022366421,0.07662634,0.0,0.0,0.0,0.0,0.0,0.0
108088852,-0.033795834,-0.03364399,-0.10534105,-0.04327011,-0.03578186,-0.88749695,-0.0014757812,-0.0057003666,0.0052283704,-0.027120352,0.0,0.0,0.0,0.0,0.0,0.26622698,0.2664038,0.573219,1.153283,1.1533391,4.0561104,0.0025056968,0.0025081583,0.0025069031,0.09014178,0.0,0.0,0.0,0.0,0.0,0.00083373673,0.0212985,0.073173426,0.0,0.0,0.0,0.0,0.0,0.0
