timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
192007385,192007248,0.018016174,0.009571595,-0.018784493,0.4261209,0.0,0.0,0.0,1.0
192107394,192107248,0.027793255,0.0050380584,0.003886072,0.42121714,0.0,0.0,0.0,1.0
192208194,192208054,-0.0018384443,-0.009937188,0.011747673,0.41737488,0.0,0.0,0.0,1.0
192312199,192312048,0.012557848,-0.019469632,0.020017106,0.41978407,0.0,0.0,0.0,1.0
192412196,192412052,0.0065636775,-0.010931637,0.010139706,0.43107215,0.0,0.0,0.0,1.0
192512181,192512049,0.0079796035,0.0036351318,0.005335223,0.44453484,0.0,0.0,0.0,1.0
192613787,192613648,-0.0032269778,0.024188757,0.005208673,0.46438295,0.0,0.0,0.0,1.0
192717784,192717648,0.031356312,0.031285293,0.00540399,0.47406998,0.0,0.0,0.0,1.0
192817785,192817648,0.0196921,0.029927466,0.00054735504,0.47597516,0.0,0.0,0.0,1.0
192917795,192917660,-0.016349506,0.02395192,0.003184365,0.48216772,0.0,0.0,0.0,1.0
193022584,193022448,-0.046854295,0.011618726,0.0047687236,0.48409647,0.0,0.0,0.0,1.0
193122587,193122448,-0.02578121,-0.005192784,0.02013572,0.4889082,0.0,0.0,0.0,1.0
193222587,193222448,-0.037489373,0.01164222,0.005210208,0.4955525,0.0,0.0,0.0,1.0
193326596,193326448,-0.054280292,-0.009503741,0.016912593,0.48718408,0.0,0.0,0.0,1.0
193427389,193427248,-0.04965947,0.007827992,0.0194803,0.4819062,0.0,0.0,0.0,1.0
193527386,193527248,-0.045954123,-0.015313657,0.02676794,0.47154528,0.0,0.0,0.0,1.0
193631392,193631248,-0.05948045,-0.019722925,0.030775964,0.46746948,0.0,0.0,0.0,1.0
193731391,193731248,-0.058256317,-0.0063053854,0.026047263,0.4550164,0.0,0.0,0.0,1.0
193832193,193832048,-0.042891078,0.00037193438,0.044527933,0.45375237,0.0,0.0,0.0,1.0
193936201,193936050,-0.06551276,-0.034381133,0.010616334,0.45232335,0.0,0.0,0.0,1.0
194040198,194040063,-0.06537493,-0.021238795,0.024437295,0.44759098,0.0,0.0,0.0,1.0
194140195,194140052,-0.06593577,-0.017605891,0.02834557,0.44297963,0.0,0.0,0.0,1.0
194244196,194244048,-0.022739789,-0.024986446,0.019644747,0.43393123,0.0,0.0,0.0,1.0
194345020,194344882,-0.04667061,0.006545227,0.022787616,0.43879053,0.0,0.0,0.0,1.0
194444986,194444848,-0.052948125,-0.020441588,0.020556027,0.42923218,0.0,0.0,0.0,1.0
194544984,194544848,-0.07543351,-0.011948954,0.020487828,0.41681775,0.0,0.0,0.0,1.0
194648995,194648858,-0.046623185,-0.037315346,0.017991796,0.39859205,0.0,0.0,0.0,1.0
