timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
149042448,-0.9991747,0.024662467,0.00450654,0.03195986,1.4605253,-0.059417516,0.3017946,-18.150915,-64.252975,-30.807209,2.4879533e-05,-0.00026984164,4.83563e-05,0.0005540406,0.0028602981,0.0024710742,0.23192626,0.044196196,0.391859,0.00020465931,-0.001667788,0.00093810534,0.0,0.0,5.779043e-07,0.0012007697,0.034019474,1.6086322e-07,4.3292266e-06,4.1121652e-06,3.0611573e-05,0.015955022,0.016544899,0.010722036,0.09936112,0.100539654,0.057553597,1.257529e-11,1.280444e-11,1.7115687e-11,5e-08,5e-08,5e-08,1.7211603e-06,1.8018351e-06,2.793809e-06,1.7481091e-06,1.733274e-06,2.7300623e-06,0.0,0.0,8389351,0.44710264,0.2399033,0.14957069,0.07523188,0.040782996,0.024508381,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
149250448,-0.9989095,0.0308519,0.011705178,0.03303021,1.3040372,-0.01751827,0.28019798,-17.896227,-64.257065,-30.733164,2.4828549e-05,-0.00026978552,4.8300175e-05,0.00056361436,0.0028623072,0.0024614022,0.23197241,0.044206783,0.39172548,0.00023405995,-0.0016769923,0.00081368594,0.0,0.0,4.631858e-07,0.0011497132,0.032378893,1.6598204e-07,4.3053337e-06,4.0742443e-06,3.059419e-05,0.01616634,0.01671714,0.010707898,0.09992208,0.10110964,0.05741413,1.2623708e-11,1.2852864e-11,1.7120376e-11,5.0000036e-08,5.0000036e-08,5.0000036e-08,1.7141351e-06,1.8001203e-06,2.7872086e-06,1.7367785e-06,1.7244752e-06,2.7224014e-06,0.0,0.0,8389351,0.4483656,0.23961246,0.17039132,0.07234474,0.046056643,0.03601786,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
149450448,-0.9986447,0.034161147,0.014784923,0.036376204,1.1966889,-0.0055400543,0.23331222,-17.660658,-64.24865,-30.651485,2.4719953e-05,-0.0002697443,4.8214388e-05,0.00056672795,0.002862412,0.002446211,0.23200367,0.044207007,0.39159378,0.00025090209,-0.0016977476,0.00069011236,0.0,0.0,4.5305032e-07,0.0011763828,0.031967007,1.760813e-07,4.269788e-06,4.0369086e-06,3.0573996e-05,0.01630757,0.016831256,0.010665279,0.10001361,0.10119109,0.05699246,1.2669511e-11,1.2898121e-11,1.712153e-11,5.0000036e-08,5.0000036e-08,5.0000036e-08,1.7071061e-06,1.7983331e-06,2.7806175e-06,1.7259518e-06,1.7161769e-06,2.7148728e-06,0.0,0.0,8389351,0.44855848,0.23873094,0.18226177,0.060920227,0.045484696,0.002496197,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
149651248,-0.9983161,0.03731794,0.018869003,0.04020316,1.1162571,-0.02865896,0.18079007,-17.436125,-64.24525,-30.62471,2.4603443e-05,-0.00026967647,4.813644e-05,0.00056931464,0.0028643755,0.0024485248,0.23203436,0.044208057,0.39147943,0.0002680075,-0.0017179924,0.00058231124,0.0,0.0,4.0607492e-07,0.0011175697,0.030597417,1.8857703e-07,4.2428414e-06,4.0051855e-06,3.055831e-05,0.016435435,0.016937466,0.010631816,0.10016319,0.10132928,0.05663679,1.2720392e-11,1.2947926e-11,1.7126562e-11,5e-08,5.0000033e-08,5e-08,1.7001772e-06,1.7965783e-06,2.774137e-06,1.7156259e-06,1.7083684e-06,2.7074846e-06,0.0,0.0,8389351,0.44887912,0.23798485,0.14743091,0.060146857,0.046106208,0.0028658833,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
149859249,-0.99793535,0.039177466,0.023524849,0.04512993,0.9831907,-0.013699646,0.08141976,-17.264872,-64.21814,-30.626652,2.460653e-05,-0.00026967356,4.804743e-05,0.00058056135,0.0028538925,0.0024572462,0.23208684,0.04421165,0.39134452,0.00028630282,-0.0017218292,0.0004510144,0.0,0.0,3.9491204e-07,0.0011280962,0.031216092,2.0564497e-07,4.229196e-06,3.9826823e-06,3.0561718e-05,0.01664199,0.017117377,0.010642396,0.100762874,0.10192702,0.056580603,1.2776464e-11,1.3002481e-11,1.7135649e-11,5e-08,5.0000025e-08,5e-08,1.6933996e-06,1.7949018e-06,2.7678193e-06,1.7057868e-06,1.7010323e-06,2.7002307e-06,0.0,0.0,8389351,0.45021093,0.23786677,0.15247023,0.11357659,0.049212202,0.038719527,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
150060049,-0.99758005,0.04097884,0.024737898,0.050426513,0.896158,-0.0116159795,0.06105029,-17.119934,-64.20751,-30.60486,2.4609095e-05,-0.00026961628,4.7948746e-05,0.00059324526,0.0028479754,0.0024481239,0.23213136,0.0442161,0.3912144,0.0002946298,-0.001729719,0.00032343637,0.0,0.0,4.4233195e-07,0.00107287,0.030695764,2.2486786e-07,4.204051e-06,3.9607103e-06,3.056414e-05,0.016717035,0.017173188,0.010617679,0.100931436,0.10207871,0.05624186,1.28310435e-11,1.3055071e-11,1.7142059e-11,5e-08,5e-08,5e-08,1.6866645e-06,1.793197e-06,2.76155e-06,1.696416e-06,1.6941436e-06,2.6931132e-06,0.0,0.0,8389351,0.45056647,0.23715366,0.16840644,0.10468845,0.048977632,0.026413355,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
150260055,-0.99683595,0.04423764,0.036147933,0.055269085,0.843489,-0.025386667,0.08080705,-16.976814,-64.182686,-30.569016,2.4566216e-05,-0.0002696049,4.787536e-05,0.0005986786,0.002839286,0.0024366647,0.23216832,0.044214778,0.39109933,0.00030651875,-0.0017354501,0.00021075459,0.0,0.0,3.9816578e-07,0.001069691,0.030959893,2.4834605e-07,4.2255774e-06,3.9467513e-06,3.0574574e-05,0.016761702,0.017199896,0.01068659,0.10115172,0.10227773,0.056755565,1.2891531e-11,1.3112784e-11,1.7161956e-11,5.000007e-08,5.000007e-08,5.000007e-08,1.6807744e-06,1.7918438e-06,2.7561625e-06,1.6884225e-06,1.6883125e-06,2.6868079e-06,0.0,0.0,8389351,0.45103157,0.23823427,0.13072053,0.091966875,0.047932513,0.027632378,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
150464848,-0.9962897,0.046246056,0.03969384,0.060767762,0.8030756,-0.054691292,0.09114577,-16.847008,-64.16694,-30.558455,2.4539508e-05,-0.00026954783,4.777896e-05,0.0006098475,0.0028300122,0.002435957,0.23221241,0.04421623,0.39096233,0.00031281792,-0.0017404631,7.497734e-05,0.0,0.0,3.2569955e-07,0.000981863,0.030047255,2.736668e-07,4.228146e-06,3.941398e-06,3.0591633e-05,0.016860016,0.01728774,0.010697268,0.10182036,0.10294026,0.05670381,1.29547146e-11,1.3173308e-11,1.7174456e-11,5e-08,5e-08,5e-08,1.6743361e-06,1.7902913e-06,2.7501492e-06,1.6798363e-06,1.6822135e-06,2.6799673e-06,0.0,0.0,8389351,0.4525048,0.23812562,0.13866794,0.090228386,0.047595344,0.0038070686,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
150664848,-0.99622875,0.042706244,0.03791995,0.06531808,0.8089839,-0.09590884,0.050011463,-16.72631,-64.16003,-30.540712,2.4510824e-05,-0.0002695113,4.7717553e-05,0.00061802694,0.0028221158,0.0024307892,0.23225354,0.044218592,0.39086097,0.00032655764,-0.0017425708,-2.5877951e-05,0.0,0.0,3.2290572e-07,0.0010268199,0.030703546,2.9162956e-07,4.2072893e-06,3.933157e-06,3.066191e-05,0.01685614,0.017277882,0.010749816,0.10174246,0.10283369,0.05702968,1.3013245e-11,1.3228477e-11,1.7189842e-11,5.000007e-08,5.000007e-08,5.000007e-08,1.6685781e-06,1.7889997e-06,2.7449037e-06,1.6724981e-06,1.6770534e-06,2.6738849e-06,0.0,0.0,8389351,0.45230094,0.23880887,0.14200264,0.06808414,0.054100383,0.022000832,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
150865648,-0.9957754,0.044856913,0.038833257,0.070080824,0.7924933,-0.11132446,0.025910072,-16.603855,-64.15112,-30.524818,2.4474713e-05,-0.0002694719,4.7617246e-05,0.00062553585,0.0028108517,0.002424421,0.2322957,0.04421691,0.39074624,0.000333513,-0.0017522242,-0.0001406039,0.0,0.0,3.1879543e-07,0.00096304185,0.028544648,3.1630344e-07,4.2029915e-06,3.932259e-06,3.0679086e-05,0.016849402,0.017262321,0.010724605,0.10183837,0.10291045,0.0567039,1.3074882e-11,1.3286757e-11,1.7199247e-11,5.000007e-08,5.000007e-08,5.000007e-08,1.6622917e-06,1.7875188e-06,2.7390824e-06,1.6646128e-06,1.6716556e-06,2.6672683e-06,0.0,0.0,8389351,0.4524918,0.2381258,0.16035475,0.09089597,0.053388886,0.030630834,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
151073648,-0.99515146,0.04488532,0.04477219,0.07519628,0.7341963,-0.13849239,0.018694852,-16.484121,-64.15851,-30.50131,2.44329e-05,-0.00026939696,4.753852e-05,0.0006359151,0.0028031487,0.002410727,0.23233221,0.044217896,0.3906184,0.0003375272,-0.001754687,-0.00026668597,0.0,0.0,2.9977664e-07,0.00096163567,0.031259876,3.452236e-07,4.232595e-06,3.9374636e-06,3.0655956e-05,0.016891493,0.017285218,0.0106582,0.10241424,0.10348043,0.055960495,1.3141433e-11,1.3349749e-11,1.720557e-11,5e-08,5e-08,5e-08,1.6555571e-06,1.7858805e-06,2.732724e-06,1.6562708e-06,1.6660999e-06,2.6601533e-06,0.0,0.0,8389351,0.45375618,0.2365597,0.16052473,0.09318759,0.053051684,0.0032112086,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
151274461,-0.9946592,0.044261232,0.05015275,0.07860479,0.68019915,-0.16315204,0.026914535,-16.376041,-64.15833,-30.461132,2.4369365e-05,-0.00026933628,4.74372e-05,0.00064264814,0.002792092,0.0023921565,0.23237225,0.044214673,0.3904967,0.00034121715,-0.0017648736,-0.00038878206,0.0,0.0,2.614333e-07,0.0009020527,0.028336253,3.66914e-07,4.2623133e-06,3.9440642e-06,3.0666975e-05,0.016845318,0.017215539,0.010642553,0.10251009,0.10355404,0.055713244,1.3204066e-11,1.3408441e-11,1.7216444e-11,5e-08,5e-08,5e-08,1.6495623e-06,1.7845098e-06,2.7271528e-06,1.6490307e-06,1.661387e-06,2.6538175e-06,0.0,0.0,8389351,0.45394287,0.23603652,0.1613202,0.093994096,0.052691683,0.01360739,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
151474474,-0.99480087,0.04014724,0.05020677,0.07898603,0.69743997,-0.21398182,0.06810662,-16.263248,-64.184944,-30.395,2.4305418e-05,-0.00026923366,4.737012e-05,0.0006498638,0.0027885067,0.002366771,0.23240122,0.044215206,0.3903857,0.00034316577,-0.0017703825,-0.000498707,0.0,0.0,2.6315502e-07,0.000939299,0.028706925,3.67798e-07,4.275342e-06,3.95763e-06,3.0726005e-05,0.016787894,0.017152105,0.010634041,0.1026565,0.10367985,0.055535004,1.3268734e-11,1.3468977e-11,1.7229603e-11,5e-08,5e-08,5e-08,1.643713e-06,1.7832078e-06,2.7217293e-06,1.6420096e-06,1.6569591e-06,2.6476205e-06,0.0,0.0,8389351,0.45424262,0.23565866,0.17913744,0.07392493,0.05163517,0.059292845,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
151675248,-0.995337,0.035716876,0.040280223,0.080037765,0.7046131,-0.24850924,0.0084856525,-16.157326,-64.20668,-30.366127,2.4244126e-05,-0.00026916203,4.7297566e-05,0.0006588216,0.0027781965,0.002357274,0.23243546,0.044214413,0.39026687,0.0003452274,-0.0017744096,-0.0006156769,0.0,0.0,2.35797e-07,0.0009404462,0.027322888,3.6756572e-07,4.248184e-06,3.980552e-06,3.0828516e-05,0.016775774,0.017137704,0.010632119,0.10280253,0.103807226,0.055375155,1.3331322e-11,1.3527235e-11,1.7240966e-11,5e-08,5e-08,5e-08,1.637976e-06,1.7819651e-06,2.716471e-06,1.635229e-06,1.6527986e-06,2.641536e-06,0.0,0.0,8389351,0.45454347,0.23531926,0.16841665,0.07368145,0.05121213,0.043878347,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
151883248,-0.9955349,0.031184044,0.04060228,0.07930518,0.66052175,-0.25734252,-0.07336077,-16.057568,-64.237404,-30.353119,2.418493e-05,-0.00026908546,4.7231373e-05,0.00066981406,0.0027680113,0.0023466093,0.23247491,0.0442155,0.39014786,0.0003530621,-0.001778329,-0.00073244865,0.0,0.0,2.1322353e-07,0.0009006871,0.026461422,3.6284482e-07,4.278718e-06,4.011092e-06,3.0911622e-05,0.016825307,0.017178323,0.010668572,0.103429124,0.104423,0.055546727,1.339848e-11,1.3589834e-11,1.7258544e-11,5e-08,5e-08,5e-08,1.6324199e-06,1.7808474e-06,2.7114402e-06,1.6286547e-06,1.6488832e-06,2.63556e-06,0.0,0.0,8389351,0.45590803,0.23568353,0.1844623,0.076918505,0.052831355,0.013244325,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
152084049,-0.9958764,0.027590951,0.038594663,0.077327944,0.65664995,-0.23250403,-0.09268262,-15.939699,-64.234604,-30.335127,2.4041323e-05,-0.00026903587,4.7157475e-05,0.0006685975,0.002753917,0.0023295954,0.2325021,0.044208266,0.39004552,0.00035440322,-0.0017895771,-0.00083239825,0.0,0.0,5.6978394e-07,0.0009428962,0.025865791,3.5143944e-07,4.2973165e-06,4.0424097e-06,3.103217e-05,0.016762756,0.017112317,0.010749966,0.10350765,0.10447707,0.05617282,1.3460082e-11,1.3646896e-11,1.7279655e-11,5e-08,5e-08,5e-08,1.6275154e-06,1.779973e-06,2.7071314e-06,1.6229149e-06,1.6455609e-06,2.630275e-06,0.0,0.0,8389351,0.4560534,0.23700806,0.1878796,0.15338376,0.05163536,0.03659423,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
152284056,-0.9971551,0.026678974,0.047458436,0.05213288,0.6597328,-0.21116391,-0.11779489,-15.804423,-64.22953,-30.33115,2.386437e-05,-0.00026891596,4.7073692e-05,0.0006647665,0.0027425846,0.0023142367,0.23252545,0.04420117,0.38993558,0.0003523501,-0.0018061843,-0.00093827344,0.0,0.0,9.285896e-07,0.0009867346,0.02652359,2.4181364e-07,4.373038e-06,4.0654804e-06,3.1168875e-05,0.016710926,0.017059594,0.010742078,0.10364555,0.10459529,0.05604361,1.3519908e-11,1.3701685e-11,1.7292856e-11,5e-08,5e-08,5e-08,1.6220321e-06,1.7788575e-06,2.702294e-06,1.6164006e-06,1.6419789e-06,2.624532e-06,0.0,0.0,8389351,0.4563341,0.23673531,0.19413821,0.13654785,0.046966303,0.037601814,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
152492050,-0.9948864,0.034449972,0.08918013,0.032575052,0.68144476,-0.19369236,-0.08985804,-15.7079,-64.23392,-30.310066,2.3771701e-05,-0.00026886872,4.7023026e-05,0.0006753882,0.0027306252,0.002294234,0.23256259,0.04420035,0.38982254,0.00035110716,-0.0018100678,-0.0010507682,0.0,0.0,1.1494365e-06,0.0009761498,0.027753029,2.0856595e-07,4.6624045e-06,4.0738987e-06,3.1061656e-05,0.016711203,0.017076517,0.010757997,0.1042521,0.10519412,0.056131773,1.3580487e-11,1.3756748e-11,1.7307914e-11,5e-08,5e-08,5e-08,1.616623e-06,1.7778191e-06,2.6974808e-06,1.6095811e-06,1.6384555e-06,2.6189393e-06,0.0,0.0,8389351,0.45765296,0.23692144,0.14846486,0.089326,0.048288114,0.030253833,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
152692848,-0.989477,0.037939068,0.13823386,0.019682726,0.9319743,-0.20477864,-0.08366568,-15.589161,-64.24606,-30.266441,2.3686101e-05,-0.00026878976,4.6963825e-05,0.0006874675,0.0027214915,0.0022679581,0.23259969,0.044200044,0.38970745,0.0003352955,-0.0018140558,-0.0011672535,0.0,0.0,1.2132859e-06,0.0009269104,0.027883982,2.2832792e-07,5.1086085e-06,4.060476e-06,3.073179e-05,0.016673503,0.017134445,0.010729292,0.10444897,0.10538587,0.055953655,1.3636981e-11,1.3807045e-11,1.7319693e-11,5e-08,5e-08,5e-08,1.6112476e-06,1.7767666e-06,2.6923358e-06,1.6024663e-06,1.6350378e-06,2.6133062e-06,0.0,0.0,8389351,0.45807734,0.23654525,0.16346161,0.080406554,0.048897155,0.050607026,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
152892848,-0.9807523,0.03444286,0.19194175,0.009848483,1.3630333,-0.24014767,-0.0795058,-15.3973055,-64.27459,-30.219507,2.3599274e-05,-0.00026869058,4.6936573e-05,0.00069955294,0.0027159755,0.0022432923,0.2326222,0.04419881,0.38958573,0.00029690377,-0.0018086586,-0.0012781556,0.0,0.0,1.3582792e-06,0.0009524295,0.029325344,2.849888e-07,5.731809e-06,4.025366e-06,3.0229721e-05,0.016634345,0.017280962,0.010776739,0.104592994,0.10553968,0.056539126,1.3691568e-11,1.3855529e-11,1.733672e-11,5.000007e-08,5.000007e-08,5.000007e-08,1.6065924e-06,1.7760443e-06,2.6874407e-06,1.5958663e-06,1.6321125e-06,2.6079765e-06,0.0,0.0,8389351,0.4584023,0.23777957,0.2037611,0.05806714,0.05006555,0.06678766,0.0,0.0,0.0,0.015999,0,0,0,831,24,0,0,0
