timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
59868848,17875248,32.387344299999995,-117.0765293,0.78715533,0.41910252,-0.43544993,-0.00095559197,0.00016487676,0.0,0.07366011,0.012296091,-0.04778625,-0.057652697,-0.0082502235,-0.006005967,0.011175698,1.6445855,-0.16423588,-0.42831063,-1.1240404,15.565142,0.1,0.04778625,0.36040223,0.2346069,0.16509019,0.10029957,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
59972848,17875248,32.387344299999995,-117.0765293,0.7934398,0.42155844,-0.46563804,-0.00095559197,0.00016487676,0.0,0.07305712,0.01768852,-0.37615538,-0.39154792,-0.0082502235,-0.006005967,0.011175698,-0.48140505,1.8250587,-5.532135,-1.1336192,15.565142,0.11701754,0.37615538,0.34896663,0.23339753,0.16082877,0.09969913,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
60076848,17875248,32.387344299999995,-117.0765293,0.8000508,0.42466637,-0.5283665,-0.00095559197,0.00016487676,0.0,0.0916349,0.03178358,-0.5820777,-0.6068672,-0.0082502235,-0.006005967,0.011175698,2.5239356,1.8873101,-0.9220876,-1.1414322,15.565142,0.179746,0.5820777,0.36147824,0.23334426,0.16645862,0.09998137,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
60172848,17875248,32.387344299999995,-117.0765293,0.805798,0.4295627,-0.5982317,-0.00095559197,0.00016487676,0.0,0.08425226,0.05017114,-0.6637716,-0.6950746,-0.0082502235,-0.006005967,0.011175698,-0.38074392,2.4811623,-3.4823854,-1.1485107,15.565142,0.24961117,0.6637716,0.3488871,0.233066,0.1627058,0.09960196,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
60277648,17875248,32.387344299999995,-117.0765293,0.81039673,0.43623018,-0.6773193,-0.00095559197,0.00016487676,0.0,0.07569713,0.038535412,-0.71377885,-0.74749625,-0.0082502235,-0.006005967,0.011175698,0.42795298,-0.75457305,0.28451246,-1.1554952,15.565142,0.32869878,0.71377885,0.36150435,0.23461536,0.16832781,0.100290395,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
60381648,17875248,32.387344299999995,-117.0765293,0.81412286,0.44155174,-0.7538226,-0.00095559197,0.00016487676,0.0,0.04748144,0.05758754,-0.77633774,-0.80599064,-0.0082502235,-0.006005967,0.011175698,-1.5311832,3.1955714,-3.157039,-1.1618042,15.565142,0.40520212,0.77633774,0.3497491,0.23340857,0.16388275,0.0996908,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
60477660,17875248,32.387344299999995,-117.0765293,0.8158721,0.44605234,-0.82633734,-0.00095559197,0.00016487676,0.0,0.026649162,0.03285439,-0.8136126,-0.8359381,-0.0082502235,-0.006005967,0.011175698,-0.03106631,-1.3488933,2.9363418,-1.1596912,15.565142,0.47771683,0.8136126,0.36143443,0.23434326,0.16847117,0.10020585,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
60581648,17875248,32.387344299999995,-117.0765293,0.8153248,0.45060784,-0.914077,-0.00095559197,0.00016487676,0.0,-0.0028172648,0.024209883,-0.8363495,-0.85714513,-0.0082502235,-0.006005967,0.011175698,-1.7229939,-2.6290636,2.398908,-1.1581099,15.565142,0.5654565,0.8363495,0.34992236,0.2330792,0.16424245,0.09961735,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
60686450,17875248,32.387344299999995,-117.0765293,0.8124661,0.45496458,-1.0084543,-0.00095559197,0.00016487676,0.0,-0.01925598,0.025189942,-0.84483534,-0.86906874,-0.0082502235,-0.006005967,0.011175698,-0.6328358,-0.99982893,0.5735828,-1.1566441,15.565142,0.6598338,0.84483534,0.3626318,0.23461926,0.16920418,0.100321054,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
60782448,17875248,32.387344299999995,-117.0765293,0.8073416,0.46284267,-1.1002281,-0.00095559197,0.00016487676,0.0,-0.040080994,0.021313798,-0.84058374,-0.8725253,-0.0082502235,-0.006005967,0.011175698,-1.6153204,-3.28486,0.671883,-1.1567656,15.565142,0.75160754,0.84058374,0.35009316,0.23432016,0.16424465,0.09995817,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
