timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
185705751,185705751,8,39,0,0,27003,1488,1498,1415,1511,2016,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
185897530,185897530,8,39,0,0,27006,1488,1497,1416,1510,2016,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
186094328,186094328,8,39,0,0,27005,1489,1497,1416,1511,2016,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
186306343,186306343,8,39,0,0,27000,1488,1497,1416,1510,2016,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
186503131,186503131,8,39,0,0,27003,1488,1498,1415,1511,2016,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
186703137,186703137,8,39,0,0,27001,1489,1497,1416,1510,2016,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
186899952,186899952,8,39,0,0,27003,1488,1498,1415,1511,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
187119842,187119842,8,39,0,0,27005,1489,1498,1415,1511,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
187311917,187311917,8,39,0,0,27002,1488,1498,1415,1511,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
187508952,187508952,8,39,0,0,27002,1489,1497,1416,1511,2016,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
187712717,187712717,8,39,0,0,27006,1488,1498,1415,1511,2016,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
187925533,187925533,8,39,0,0,27001,1489,1497,1416,1511,2015,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
188125519,188125519,8,39,0,0,26999,1488,1498,1415,1512,2015,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
188322339,188322339,8,39,0,0,26999,1489,1497,1416,1511,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
188518526,188518526,8,39,0,0,27002,1488,1498,1415,1510,2016,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
188739134,188739134,8,39,0,0,27001,1488,1497,1416,1511,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
188939138,188939138,8,39,0,0,27003,1488,1498,1415,1511,2016,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
189147790,189147790,8,39,0,0,27004,1489,1497,1416,1511,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
189343929,189343929,8,39,0,0,27002,1488,1498,1415,1510,2016,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
189540737,189540737,8,39,0,0,27001,1488,1498,1415,1511,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
189756743,189756743,8,39,0,0,27002,1488,1498,1415,1512,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
189936717,189936717,8,39,0,0,27003,1488,1497,1416,1510,2016,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
190145534,190145534,8,39,0,0,26999,1488,1498,1415,1511,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
190361517,190361517,8,39,0,0,27002,1488,1498,1415,1511,2015,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
190566343,190566343,8,39,0,0,27004,1489,1497,1416,1511,2015,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
190766321,190766321,8,39,0,0,27002,1489,1497,1416,1511,2016,992,991,992,0,0,0,0,0,0,0,0,0,0,0,0,2
190967136,190967136,8,39,0,0,27004,1489,1497,1416,1510,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
191163135,191163135,8,39,0,0,27005,1488,1498,1415,1511,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
191375928,191375928,8,39,0,0,27008,1489,1497,1416,1510,2016,991,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
191571933,191571933,8,39,0,0,27002,1488,1498,1415,1510,2016,992,992,991,0,0,0,0,0,0,0,0,0,0,0,0,2
191768737,191768737,8,39,0,0,27004,1488,1498,1415,1511,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
191988740,191988740,8,39,0,0,27001,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
192185531,192185531,8,39,0,0,27000,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
192393542,192393542,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
192581517,192581517,8,39,0,0,26994,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
192799131,192799131,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
192995930,192995930,8,39,0,0,27003,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
193195931,193195931,8,39,0,0,27002,1488,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
193392745,193392745,8,39,0,0,26999,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
193612740,193612740,8,39,0,0,27004,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
193817752,193817752,8,39,0,0,27001,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
194009395,194009395,8,39,0,0,27003,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
194221517,194221517,8,39,0,0,27001,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
194410330,194410330,8,39,0,0,27004,1489,1498,1415,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
194606316,194606316,8,39,0,0,27005,1488,1498,1415,1512,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
194831128,194831128,8,39,0,0,27006,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
195023146,195023146,8,39,0,0,27007,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
195236741,195236741,8,39,0,0,27007,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
195436952,195436952,8,39,0,0,27004,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
195637538,195637538,8,39,0,0,26997,1489,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
195825519,195825519,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
196046338,196046338,8,39,0,0,27011,1489,1497,1416,1511,2016,992,2015,992,0,0,0,0,0,0,0,0,0,0,0,0,2
196246323,196246323,8,39,0,0,27002,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
196444155,196444155,8,39,0,0,27006,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
196643918,196643918,8,39,0,0,27002,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
196844765,196844765,8,39,0,0,27003,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
197044742,197044742,8,39,0,0,27003,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
197245530,197245530,8,39,0,0,27006,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
197461520,197461520,8,39,0,0,27008,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
197658334,197658334,8,39,0,0,27002,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
197854337,197854337,8,39,0,0,27004,1489,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
198071156,198071156,8,39,0,0,27006,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
198267136,198267136,8,39,0,0,27003,1489,1497,1416,1511,2016,992,2015,992,0,0,0,0,0,0,0,0,0,0,0,0,2
198479954,198479954,8,39,0,0,27001,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
198680149,198680149,8,39,0,0,27003,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
198880741,198880741,8,39,0,0,27003,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
199080754,199080754,8,39,0,0,27000,1489,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
199272719,199272719,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
199473760,199473760,8,39,0,0,27000,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
199681525,199681525,8,39,0,0,27000,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
199898338,199898338,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
200098320,200098320,8,39,0,0,27002,1488,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
200299128,200299128,8,39,0,0,27003,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
200495146,200495146,8,39,0,0,27002,1488,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
200695937,200695937,8,39,0,0,27008,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
200891934,200891934,8,39,0,0,27006,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
201116736,201116736,8,39,0,0,27001,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
201312926,201312926,8,39,0,0,27003,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
201516716,201516716,8,39,0,0,27009,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
201717530,201717530,8,39,0,0,27001,1489,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
201917516,201917516,8,39,0,0,27002,1488,1498,1415,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
202106563,202106563,8,39,0,0,27005,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
202330318,202330318,8,39,0,0,27002,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
202527948,202527948,8,39,0,0,27002,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
202727923,202727923,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
202913549,202913549,8,39,0,0,27003,1489,1497,1416,1511,2016,992,2015,992,0,0,0,0,0,0,0,0,0,0,0,0,2
203130334,203130334,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
203326527,203326527,8,39,0,0,27001,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
203527144,203527144,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
203743127,203743127,8,39,0,0,27003,1488,1498,1415,1512,2016,992,2015,992,0,0,0,0,0,0,0,0,0,0,0,0,2
203939353,203939353,8,39,0,0,27001,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
204135933,204135933,8,39,0,0,27004,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
204327928,204327928,8,39,0,0,27007,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
204536732,204536732,8,39,0,0,27000,1488,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
204752717,204752717,8,39,0,0,27003,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
204953545,204953545,8,39,0,0,26999,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
205149528,205149528,8,39,0,0,27001,1489,1497,1416,1511,2016,992,2015,992,0,0,0,0,0,0,0,0,0,0,0,0,2
205346553,205346553,8,39,0,0,27003,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
205562536,205562536,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
205763131,205763131,8,39,0,0,27015,1489,1497,1416,1511,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
205971146,205971146,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
206151931,206151931,8,39,0,0,27003,1488,1498,1415,1512,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
206363933,206363933,8,39,0,0,27002,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
206567946,206567946,8,39,0,0,27002,1488,1498,1415,1512,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
206784737,206784737,8,39,0,0,27005,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
206980740,206980740,8,39,0,0,27004,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
207178365,207178365,8,39,0,0,27002,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
207375156,207375156,8,39,0,0,27008,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
207591172,207591172,8,39,0,0,27007,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
207787117,207787117,8,39,0,0,27001,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
207979934,207979934,8,39,0,0,26999,1488,1498,1415,1512,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
208199917,208199917,8,39,0,0,27000,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
208392738,208392738,8,39,0,0,27002,1488,1498,1415,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
208588954,208588954,8,39,0,0,26998,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
208805749,208805749,8,39,0,0,26997,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
209001539,209001539,8,39,0,0,27002,1488,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
209218332,209218332,8,39,0,0,27001,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
209418526,209418526,8,39,0,0,27008,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
209615130,209615130,8,39,0,0,27000,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
209807136,209807136,8,39,0,0,27004,1489,1497,1416,1511,2016,992,2015,992,0,0,0,0,0,0,0,0,0,0,0,0,2
210007929,210007929,8,39,0,0,26995,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
210231964,210231964,8,39,0,0,26996,1489,1497,1416,1511,2016,992,2015,992,0,0,0,0,0,0,0,0,0,0,0,0,2
210411938,210411938,8,39,0,0,27000,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
210636733,210636733,8,39,0,0,27004,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
210820718,210820718,8,39,0,0,27002,1488,1497,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
211029541,211029541,8,39,0,0,27000,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
211229517,211229517,8,39,0,0,27001,1489,1498,1415,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
211434335,211434335,8,39,0,0,27000,1488,1498,1415,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
211654565,211654565,8,39,0,0,27003,1488,1498,1415,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
211847134,211847134,8,39,0,0,27003,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
212043136,212043136,8,39,0,0,27003,1488,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
212244788,212244788,8,39,0,0,27008,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
212444984,212444984,8,39,0,0,27008,1489,1497,1416,1511,2016,992,2015,992,0,0,0,0,0,0,0,0,0,0,0,0,2
212649535,212649535,8,39,0,0,27006,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
212857534,212857534,8,39,0,0,27006,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
213058552,213058552,8,39,0,0,27001,1489,1497,1416,1511,2016,992,2015,992,0,0,0,0,0,0,0,0,0,0,0,0,2
213266329,213266329,8,39,0,0,27003,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
213467133,213467133,8,39,0,0,27003,1488,1498,1416,1511,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
213663137,213663137,8,39,0,0,27003,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
213880740,213880740,8,39,0,0,27001,1489,1497,1416,1511,2016,992,2015,992,0,0,0,0,0,0,0,0,0,0,0,0,2
214076742,214076742,8,39,0,0,27002,1488,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
214273553,214273553,8,39,0,0,27006,1488,1498,1415,1512,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
214473534,214473534,8,39,0,0,27007,1489,1497,1416,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
214678566,214678566,8,39,0,0,27002,1488,1497,1415,1512,2016,991,2016,992,0,0,0,0,0,0,0,0,0,0,0,0,2
214874333,214874333,8,39,0,0,27002,1488,1498,1415,1511,2016,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
215071171,215071171,8,39,0,0,27003,1488,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
215287132,215287132,8,39,0,0,27004,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
215483148,215483148,8,39,0,0,27003,1488,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
215688737,215688737,8,39,0,0,27002,1489,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
215885547,215885547,8,39,0,0,27005,1488,1497,1416,1512,2015,992,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
216105530,216105530,8,39,0,0,27004,1488,1498,1415,1512,2016,991,2016,991,0,0,0,0,0,0,0,0,0,0,0,0,2
