timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
68386157,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
68586194,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
68786227,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
68986356,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
69186426,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
69406638,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
69606730,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
69806774,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
70006933,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
70206973,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
70407100,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
70607349,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
70827206,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
71027230,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
71227414,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
71427525,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
71627549,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
71827595,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.7027336,-1.3877326e-09,1.9340612e-11,-9.804637e-09,0.0,0.0,0.0,nan,nan,nan
72027803,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.8709135,-1.3877326e-09,1.9340612e-11,-1.6015599,0.0,0.0,0.0,nan,nan,nan
72247825,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.9632747,-1.3877326e-09,1.9340612e-11,-0.4017198,0.0,0.0,-20.0,nan,nan,nan
72447820,nan,nan,nan,-0.55894786,0.0,8.483238,-5.302974,-1.9677446,-1.3877326e-09,1.9340612e-11,-0.0024197996,0.0,0.0,0.0,nan,nan,nan
72647934,nan,nan,nan,nan,-0.38629866,8.471195,-5.319018,-1.9682287,-0.40104002,-0.8011,-0.0024197996,0.0,-20.0,0.0,nan,nan,nan
72847975,nan,nan,nan,nan,-0.72051424,8.267093,-5.683787,-1.9687129,-1.60016,-2.8037999,-0.0024197996,0.0,-20.0,0.0,nan,nan,nan
73048007,nan,nan,nan,nan,-0.7635876,7.762889,-6.3566346,-1.9771818,-3.20122,-3.6036398,-0.0022798032,0.0,0.0,0.0,nan,nan,nan
73248160,nan,nan,nan,nan,-0.9946869,6.9622717,-7.1456985,-1.9816408,-4.80156,-4.00378,-0.4024198,-20.0,0.0,-20.0,nan,nan,nan
