timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
255358309,1532984879693686,-1532984624345151,-1532984624340444,19542
255449551,1532984879786622,-1532984624340926,-1532984624340487,7675
255555334,1532984879891967,-1532984624342978,-1532984624340487,12676
255653298,1532984879988167,-1532984624340060,-1532984624340487,10376
255758036,1532984880095796,-1532984624344757,-1532984624340487,13987
255852362,1532984880186577,-1532984624339040,-1532984624340440,9599
256000308,1532984880334287,-1532984624361817,-1532984624340440,55671
256050740,1532984880388503,-1532984624341853,-1532984624340523,8122
256152424,1532984880488762,-1532984624340361,-1532984624340536,7994
256261374,1532984880598522,-1532984624343110,-1532984624340536,11918
256355625,1532984880693169,-1532984624343464,-1532984624340536,11834
256453330,1532984880788342,-1532984624339613,-1532984624340514,9150
256553013,1532984880890311,-1532984624341243,-1532984624340566,7833
256653333,1532984880988368,-1532984624339513,-1532984624340537,8898
256758286,1532984881095198,-1532984624343073,-1532984624340537,12314
256860704,1532984881196984,-1532984624343211,-1532984624340537,13855
256990281,1532984881327207,-1532984624359125,-1532984624340537,44391
257057475,1532984881391733,-1532984624339563,-1532984624340537,10602
257259449,1532984881596513,-1532984624342023,-1532984624340623,9859
257354369,1532984881686841,-1532984624337739,-1532984624340623,10514
257455004,1532984881789481,-1532984624340106,-1532984624340623,11242
257551421,1532984881886918,-1532984624339165,-1532984624340576,7273
257655713,1532984881992753,-1532984624342919,-1532984624340576,11750
257753383,1532984882088090,-1532984624339566,-1532984624340546,9637
257851530,1532984882188567,-1532984624340658,-1532984624340567,7182
257993366,1532984882327636,-1532984624359203,-1532984624340567,49858
258062306,1532984882396929,-1532984624343701,-1532984624340567,18151
258155679,1532984882493313,-1532984624342977,-1532984624340567,10681
258254428,1532984882589145,-1532984624339762,-1532984624340567,10084
258353618,1532984882690331,-1532984624340835,-1532984624340595,8209
258456772,1532984882791235,-1532984624340034,-1532984624340595,11136
258555405,1532984882889429,-1532984624338070,-1532984624340494,8032
258653945,1532984882991119,-1532984624341082,-1532984624340532,7773
258755972,1532984883094631,-1532984624343050,-1532984624340660,8730
258858583,1532984883195417,-1532984624342612,-1532984624340660,11542
258952426,1532984883290360,-1532984624342201,-1532984624340748,8477
259062949,1532984883398518,-1532984624343297,-1532984624340748,15441
259156310,1532984883490792,-1532984624338912,-1532984624340684,8825
259255048,1532984883590038,-1532984624340632,-1532984624340684,11278
259353460,1532984883691038,-1532984624340095,-1532984624340673,4974
259452603,1532984883787790,-1532984624339481,-1532984624340634,8537
259558364,1532984883894751,-1532984624342790,-1532984624340634,12800
259658298,1532984883992256,-1532984624340496,-1532984624340634,13070
259756328,1532984884091362,-1532984624340696,-1532984624340634,11297
259858403,1532984884194718,-1532984624342178,-1532984624340634,11720
259993442,1532984884330375,-1532984624361007,-1532984624340634,48143
260054402,1532984884392141,-1532984624341813,-1532984624340701,8112
260159435,1532984884494159,-1532984624340694,-1532984624340701,11934
260258037,1532984884592713,-1532984624340409,-1532984624340701,11459
260357155,1532984884692840,-1532984624340743,-1532984624340701,10110
260456401,1532984884790999,-1532984624338990,-1532984624340638,8717
260551500,1532984884889053,-1532984624341447,-1532984624340686,7752
260654647,1532984884991750,-1532984624342496,-1532984624340686,10780
260759827,1532984885096889,-1532984624344488,-1532984624340686,14845
260856526,1532984885192948,-1532984624342817,-1532984624340686,12785
261000318,1532984885336934,-1532984624362378,-1532984624340686,51510
261056599,1532984885392643,-1532984624342096,-1532984624340686,12096
261161020,1532984885494389,-1532984624341106,-1532984624340686,14587
261254330,1532984885588218,-1532984624338548,-1532984624340602,9268
261356801,1532984885694241,-1532984624343483,-1532984624340602,12080
261460855,1532984885798125,-1532984624344306,-1532984624340602,14065
261557194,1532984885892505,-1532984624340854,-1532984624340602,11073
261663373,1532984885999839,-1532984624345488,-1532984624340602,18037
261757287,1532984886091943,-1532984624339944,-1532984624340602,10570
261859008,1532984886195096,-1532984624342196,-1532984624340602,11718
261995356,1532984886329627,-1532984624358806,-1532984624340602,49065
262054384,1532984886392388,-1532984624343466,-1532984624340602,10919
262151660,1532984886488987,-1532984624341025,-1532984624340630,7337
262258809,1532984886595522,-1532984624344452,-1532984624340630,15470
262355389,1532984886690196,-1532984624340590,-1532984624340630,11559
262452328,1532984886787347,-1532984624339300,-1532984624340580,8511
262559943,1532984886893945,-1532984624341743,-1532984624340580,15477
262656492,1532984886993182,-1532984624342856,-1532984624340580,12327
262752363,1532984887090677,-1532984624342172,-1532984624340659,7657
262856525,1532984887189250,-1532984624339602,-1532984624340621,9617
262994539,1532984887327434,-1532984624357060,-1532984624340621,48317
263058367,1532984887395894,-1532984624343502,-1532984624340621,11944
263158295,1532984887493898,-1532984624341216,-1532984624340621,11210
263255368,1532984887588821,-1532984624338127,-1532984624340516,9290
263353330,1532984887691895,-1532984624341824,-1532984624340579,6482
263458120,1532984887794293,-1532984624343383,-1532984624340579,14413
263560319,1532984887895402,-1532984624341141,-1532984624340579,12110
263655361,1532984887990440,-1532984624340701,-1532984624340579,11236
263758745,1532984888093515,-1532984624339888,-1532984624340579,10216
263857277,1532984888193976,-1532984624342779,-1532984624340579,12155
263995806,1532984888328499,-1532984624358990,-1532984624340579,50919
264057314,1532984888391511,-1532984624341033,-1532984624340579,13664
264166372,1532984888503874,-1532984624347596,-1532984624340579,20175
264255968,1532984888588723,-1532984624339007,-1532984624340514,9461
264369372,1532984888703721,-1532984624346925,-1532984624340514,25139
264451565,1532984888788904,-1532984624339908,-1532984624340489,5103
264554099,1532984888892416,-1532984624342178,-1532984624340567,7639
264652713,1532984888989643,-1532984624339988,-1532984624340546,6058
264756296,1532984889091055,-1532984624339866,-1532984624340546,10209
264862315,1532984889197302,-1532984624342210,-1532984624340546,14440
264989799,1532984889326773,-1532984624358681,-1532984624340546,43409
265061471,1532984889396006,-1532984624341785,-1532984624340546,14495
265156451,1532984889494221,-1532984624342119,-1532984624340620,8633
265255022,1532984889589638,-1532984624340354,-1532984624340620,11468
265360429,1532984889694653,-1532984624340317,-1532984624340620,12179
265457372,1532984889795262,-1532984624344052,-1532984624340620,12319
265558992,1532984889893055,-1532984624341410,-1532984624340620,14689
265659871,1532984889994545,-1532984624342393,-1532984624340620,15430
265750298,1532984890087021,-1532984624339705,-1532984624340586,5929
265952352,1532984890288915,-1532984624340744,-1532984624340598,8311
266065530,1532984890401388,-1532984624345744,-1532984624340598,19767
266162301,1532984890497992,-1532984624341857,-1532984624340598,12325
266262312,1532984890597284,-1532984624342925,-1532984624340598,15900
266355399,1532984890692642,-1532984624341644,-1532984624340650,8767
266467464,1532984890802863,-1532984624345418,-1532984624340650,20030
266554252,1532984890889010,-1532984624338397,-1532984624340556,7231
266762987,1532984891099804,-1532984624344232,-1532984624340556,14824
266859191,1532984891195547,-1532984624342147,-1532984624340556,11575
267000359,1532984891334727,-1532984624360065,-1532984624340556,51387
267054966,1532984891391365,-1532984624340382,-1532984624340551,7931
267156345,1532984891493503,-1532984624341410,-1532984624340592,8446
267356329,1532984891691563,-1532984624340108,-1532984624340629,5949
267561512,1532984891898698,-1532984624341621,-1532984624340608,8801
267662331,1532984891997373,-1532984624339076,-1532984624340544,8003
267760562,1532984892098652,-1532984624341613,-1532984624340592,7010
267861020,1532984892198146,-1532984624340754,-1532984624340603,7204
267989601,1532984892327529,-1532984624355594,-1532984624340603,35326
268070716,1532984892406203,-1532984624341261,-1532984624340603,11540
268167532,1532984892502902,-1532984624339686,-1532984624340566,8597
268262778,1532984892600225,-1532984624339660,-1532984624340528,4389
268370545,1532984892707417,-1532984624340868,-1532984624340543,7806
268472390,1532984892807733,-1532984624340091,-1532984624340524,9438
268573387,1532984892910331,-1532984624341562,-1532984624340569,9200
268780310,1532984893115045,-1532984624340809,-1532984624340569,12135
268880621,1532984893217697,-1532984624343033,-1532984624340569,11909
268996502,1532984893331234,-1532984624346257,-1532984624340569,23045
269077582,1532984893414088,-1532984624339130,-1532984624340508,5191
269182716,1532984893516213,-1532984624337550,-1532984624340378,8054
269297942,1532984893634236,-1532984624346050,-1532984624340378,19506
269388396,1532984893726029,-1532984624341087,-1532984624340403,6872
269494443,1532984893832153,-1532984624343513,-1532984624340403,11593
269595699,1532984893932757,-1532984624341497,-1532984624340446,8819
269702551,1532984894039507,-1532984624344473,-1532984624340446,15027
269802406,1532984894136549,-1532984624339855,-1532984624340446,11409
269906348,1532984894242650,-1532984624341454,-1532984624340446,10297
270000527,1532984894337671,-1532984624339728,-1532984624340412,5116
270155631,1532984894489686,-1532984624361943,-1532984624340412,55771
270205371,1532984894542763,-1532984624340111,-1532984624340394,5402
270347180,1532984894685338,-1532984624363395,-1532984624340394,50466
270448674,1532984894784464,-1532984624359766,-1532984624340394,47944
270550308,1532984894885293,-1532984624361360,-1532984624340394,52742
270608589,1532984894942904,-1532984624338121,-1532984624340291,7553
270758307,1532984895092140,-1532984624363820,-1532984624340291,59961
270804501,1532984895142552,-1532984624341491,-1532984624340334,6845
270950303,1532984895287149,-1532984624362504,-1532984624340334,51301
271002453,1532984895339029,-1532984624339304,-1532984624340283,5407
271602264,1532984895940255,-1532984624339790,-1532984624340253,3551
271748326,1532984896085869,-1532984624360975,-1532984624340253,46859
