timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
47379898,0.0,0.0,3.0262408,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
47480811,0.0,0.0,3.0241787,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
47584228,0.0,0.0,3.02201,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
47685484,0.0,0.0,3.0198977,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
47784851,0.0,0.0,3.0179236,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
47885957,0.0,0.0,3.0158677,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
47990782,0.0,0.0,3.013771,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
48094914,0.0,0.0,3.011664,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
48194457,0.0,0.0,3.009595,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
48295124,0.0,0.0,3.0076215,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
48399728,0.0,0.0,3.005545,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
48499667,0.0,0.0,3.0036428,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
48600457,0.0,0.0,3.0017128,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
48704313,0.0,0.0,2.9996972,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
48805464,0.0,0.0,2.9978065,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
48905134,0.0,0.0,2.9958417,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
49005630,0.0,0.0,2.993912,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
49109966,0.0,0.0,2.9918568,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
49211582,0.0,0.0,2.9899716,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
49310859,0.0,0.0,2.9881172,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
49411521,0.0,0.0,2.9863389,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
49515644,0.0,0.0,2.984476,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
49616039,0.0,0.0,2.9826958,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
49716332,0.0,0.0,2.980929,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
49817271,0.0,0.0,2.9792242,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
49921505,0.0,0.0,2.9774456,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
50022311,0.0,0.0,2.9756832,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
50122028,0.0,0.0,2.9739327,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
50226885,0.0,0.0,2.9722102,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
50326731,0.0,0.0,2.9705458,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
50427651,0.0,0.0,2.9688904,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
50528286,0.0,0.0,2.9671807,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
50633051,0.0,0.0,2.9653893,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
50736357,0.0,0.0,2.9636707,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
50836932,0.0,0.0,2.9619956,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
50937566,0.0,0.0,2.9602816,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
51042429,0.0,0.0,2.958636,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
51146003,0.0,0.0,2.9570203,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
51246449,0.0,0.0,2.9554574,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
51347463,0.0,0.0,2.9539106,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
51451971,0.0,0.0,2.9522288,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
51551449,0.0,0.0,2.9507194,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
51652348,0.0,0.0,2.9491537,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
51756738,0.0,0.0,2.9475954,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
51856931,0.0,0.0,2.9460838,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
51957552,0.0,0.0,2.9445891,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
52057647,0.0,0.0,2.943063,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
52161981,0.0,0.0,2.9415255,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
52263357,0.0,0.0,2.9400465,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
52362849,0.0,0.0,2.9386158,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
52463530,0.0,0.0,2.9372878,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
52568443,0.0,0.0,2.9358766,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
52668308,0.0,0.0,2.9344625,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
52769069,0.0,0.0,2.9330459,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
52872715,0.0,0.0,2.9315093,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
52973307,0.0,0.0,2.930261,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
53073156,0.0,0.0,2.9288814,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
53174005,0.0,0.0,2.9275017,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
