timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,thrust[0],thrust[1],thrust[2]
1078938424,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9848793,0.0,0.0,0.0
1079038885,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,0.0,0.0,-0.9848884,0.0,0.0,0.0
1079139659,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.00052206416,0.0058091036,-0.98490673,0.0,0.0,0.0
1079243588,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.00087586703,0.009170056,-0.98492235,0.0,0.0,0.0
1079343921,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0017583674,0.017098974,-0.98494565,0.0,0.0,0.0
1079443384,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0023112604,0.021537228,-0.9849615,0.0,0.0,0.0
1079547603,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.002278603,0.020088289,-0.98498034,0.0,0.0,0.0
1079648680,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0021038447,0.017719256,-0.9849921,0.0,0.0,0.0
1079748031,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0021156543,0.016901465,-0.98501295,0.0,0.0,0.0
1079851993,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0017469338,0.013370888,-0.9850367,0.0,0.0,0.0
1079952970,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0013760983,0.010118597,-0.98505676,0.0,0.0,0.0
1080053212,0.90682936,-0.009881344,1.9234681,3.0249684,0.0,0.0,0.0,0.7,-0.0009250927,0.0065580807,-0.9850696,0.0,0.0,0.0
