timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
227530283,227530283,0,0,0,0,0,0,0,0,0,0,0
228491494,228491494,0,0,0,0,0,0,0,0,0,0,0
229578361,229578361,0,0,0,0,0,0,0,0,0,0,0
230539531,230539531,0,0,0,0,0,0,0,0,0,0,0
231493328,231493328,0,0,0,0,0,0,0,0,0,0,0
232537387,232537387,0,0,0,0,0,0,0,0,0,0,0
233499930,233499930,0,0,0,0,0,0,0,0,0,0,0
234493503,234493503,0,0,0,0,0,0,0,0,0,0,0
235514282,235514282,0,0,0,0,0,0,0,0,0,0,0
236502935,236502935,0,0,0,0,0,0,0,0,0,0,0
237498623,237498623,0,0,0,0,0,0,0,0,0,0,0
238512218,238512218,0,0,0,0,0,0,0,0,0,0,0
239535769,239535769,0,0,0,0,0,0,0,0,0,0,0
240579345,240579345,0,0,0,0,0,0,0,0,0,0,0
241593492,241593492,0,0,0,0,0,0,0,0,0,0,0
242491005,242491005,0,0,0,0,0,0,0,0,0,0,0
243499570,243499570,0,0,0,0,0,0,0,0,0,0,0
244533146,244533146,0,0,0,0,0,0,0,0,0,0,0
245495733,245495733,0,0,0,0,0,0,0,0,0,0,0
246505098,246505098,0,0,0,0,0,0,0,0,0,0,0
247532225,247532225,0,0,0,0,0,0,0,0,0,0,0
248501282,248501282,0,0,0,0,0,0,0,0,0,0,0
249578142,249578142,0,0,0,0,0,0,0,0,0,0,0
250512652,250512652,0,0,0,0,0,0,0,0,0,0,0
251506982,251506982,0,0,0,0,0,0,0,0,0,0,0
252526355,252526355,0,0,0,0,0,0,0,0,0,0,0
253489187,253489187,0,0,0,0,0,0,0,0,0,0,0
254505925,254505925,0,0,0,0,0,0,0,0,0,0,0
255530368,255530368,0,0,0,0,0,0,0,0,0,0,0
256513293,256513293,0,0,0,0,0,0,0,0,0,0,0
257575986,257575986,0,0,0,0,0,0,0,0,0,0,0
258583335,258583335,0,0,0,0,0,0,0,0,0,0,0
259491633,259491633,0,0,0,0,0,0,0,0,0,0,0
260498643,260498643,0,0,0,0,0,0,0,0,0,0,0
261525617,261525617,0,0,0,0,0,0,0,0,0,0,0
262503436,262503436,0,0,0,0,0,0,0,0,0,0,0
263548287,263548287,0,0,0,0,0,0,0,0,0,0,0
264541329,264541329,0,0,0,0,0,0,0,0,0,0,0
265565304,265565304,0,0,0,0,0,0,0,0,0,0,0
266586586,266586586,0,0,0,0,0,0,0,0,0,0,0
267492358,267492358,0,0,0,0,0,0,0,0,0,0,0
268491086,268491086,0,0,0,0,0,0,0,0,0,0,0
269531345,269531345,0,0,0,0,0,0,0,0,0,0,0
270550419,270550419,0,0,0,0,0,0,0,0,0,0,0
272502274,272502274,0,0,0,0,0,0,0,0,0,0,0
273499499,273499499,0,0,0,0,0,0,0,0,0,0,0
274574287,274574287,0,0,0,0,0,0,0,0,0,0,0
275600460,275600460,0,0,0,0,0,0,0,0,0,0,0
276504482,276504482,0,0,0,0,0,0,0,0,0,0,0
277502029,277502029,0,0,0,0,0,0,0,0,0,0,0
278498285,278498285,0,0,0,0,0,0,0,0,0,0,0
279522926,279522926,0,0,0,0,0,0,0,0,0,0,0
280498376,280498376,0,0,0,0,0,0,0,0,0,0,0
281540282,281540282,0,0,0,0,0,0,0,0,0,0,0
282558190,282558190,0,0,0,0,0,0,0,0,0,0,0
283522283,283522283,0,0,0,0,0,0,0,0,0,0,0
284612287,284612287,0,0,0,0,0,0,0,0,0,0,0
285493920,285493920,0,0,0,0,0,0,0,0,0,0,0
286504318,286504318,0,0,0,0,0,0,0,0,0,0,0
287496338,287496338,0,0,0,0,0,0,0,0,0,0,0
288577612,288577612,0,0,0,0,0,0,0,0,0,0,0
289523878,289523878,0,0,0,0,0,0,0,0,0,0,0
290544281,290544281,0,0,0,0,0,0,0,0,0,0,0
291553772,291553772,0,0,0,0,0,0,0,0,0,0,0
292599122,292599122,0,0,0,0,0,0,0,0,0,0,0
293501941,293501941,0,0,0,0,0,0,0,0,0,0,0
294498291,294498291,0,0,0,0,0,0,0,0,0,0,0
295518302,295518302,0,0,0,0,0,0,0,0,0,0,0
296505484,296505484,0,0,0,0,0,0,0,0,0,0,0
297515577,297515577,0,0,0,0,0,0,0,0,0,0,0
298539377,298539377,0,0,0,0,0,0,0,0,0,0,0
299553758,299553758,0,0,0,0,0,0,0,0,0,0,0
300519886,300519886,0,0,0,0,0,0,0,0,0,0,0
301492556,301492556,0,0,0,0,0,0,0,0,0,0,0
302505297,302505297,0,0,0,0,0,0,0,0,0,0,0
303522217,303522217,0,0,0,0,0,0,0,0,0,0,0
304498306,304498306,0,0,0,0,0,0,0,0,0,0,0
305492342,305492342,0,0,0,0,0,0,0,0,0,0,0
306525118,306525118,0,0,0,0,0,0,0,0,0,0,0
307543815,307543815,0,0,0,0,0,0,0,0,0,0,0
309595813,309595813,0,0,0,0,0,0,0,0,0,0,0
310504282,310504282,0,0,0,0,0,0,0,0,0,0,0
311490703,311490703,0,0,0,0,0,0,0,0,0,0,0
312495632,312495632,0,0,0,0,0,0,0,0,0,0,0
313495341,313495341,0,0,0,0,0,0,0,0,0,0,0
314261242,314261242,0,0,0,0,0,0,0,0,0,0,0
315223555,315223555,0,0,0,0,0,0,0,0,0,0,0
316295133,316295133,0,0,0,0,0,0,0,0,0,0,0
318346319,318346319,0,0,0,0,0,0,0,0,0,0,0
319224719,319224719,0,0,0,0,0,0,0,0,0,0,0
320227219,320227219,0,0,0,0,0,0,0,0,0,0,0
321237292,321237292,0,0,0,0,0,0,0,0,0,0,0
322231867,322231867,0,0,0,0,0,0,0,0,0,0,0
323242234,323242234,0,0,0,0,0,0,0,0,0,0,0
324286150,324286150,0,0,0,0,0,0,0,0,0,0,0
325306784,325306784,0,0,0,0,0,0,0,0,0,0,0
326269148,326269148,0,0,0,0,0,0,0,0,0,0,0
327229248,327229248,0,0,0,0,0,0,0,0,0,0,0
328256165,328256165,0,0,0,0,0,0,0,0,0,0,0
329273201,329273201,0,0,0,0,0,0,0,0,0,0,0
330229139,330229139,0,0,0,0,0,0,0,0,0,0,0
331235134,331235134,0,0,0,0,0,0,0,0,0,0,0
332267475,332267475,0,0,0,0,0,0,0,0,0,0,0
333292214,333292214,0,0,0,0,0,0,0,0,0,0,0
334312595,334312595,0,0,0,0,0,0,0,0,0,0,0
335336589,335336589,0,0,0,0,0,0,0,0,0,0,0
336239164,336239164,0,0,0,0,0,0,0,0,0,0,0
337232562,337232562,0,0,0,0,0,0,0,0,0,0,0
338267817,338267817,0,0,0,0,0,0,0,0,0,0,0
339237276,339237276,0,0,0,0,0,0,0,0,0,0,0
340251134,340251134,0,0,0,0,0,0,0,0,0,0,0
