timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
266273207,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
267283631,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
268286958,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
269292692,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
270301355,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
271309469,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
272313365,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
273315443,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
274326643,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
275332680,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
276342952,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
277345433,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
278350414,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
279355126,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
280356295,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
281361373,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
282369141,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
283373423,2162735,2162703,2162735,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
283965490,2162735,2162703,2162735,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
284966404,2162735,2162703,2162735,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
285975045,2162735,2162703,2162735,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
286985302,2162735,2162703,2162735,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
287989370,2162735,2162703,2162735,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
288124852,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
289131460,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
289156000,2162735,2162703,2162735,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
290165396,2162735,2162703,2162735,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
291167999,2162735,2162703,2162735,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
292169611,2162735,2162703,2162735,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
293170396,2162735,2162703,2162735,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
294175446,2162735,2162703,2162735,4,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
294785280,2162735,2162703,2162735,3,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
294832962,2162735,2162703,2162735,3,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
294876711,2162735,2162703,2162735,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
295674204,2162735,2162703,2162735,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
296680932,2162735,2162703,2162735,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
297691498,2162735,2162703,2162735,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
298693506,2162735,2162703,2162735,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
299696334,2162735,2162703,2162735,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
300701547,2162735,2162703,2162735,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
301707522,2162735,2162703,2162735,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
301741446,2162735,2162703,2162735,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
301802157,2162735,2162703,2162735,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
302802369,2162735,2162703,2162735,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
303812368,2162735,2162703,2162735,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
304820556,2162735,2162703,2162735,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
305823411,2162735,2162703,2162735,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
306830284,2162735,2162703,2162735,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
307835560,2162735,2162703,2162735,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
308846421,2162735,2162703,2162735,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
309856595,2162735,2162703,2162735,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
310857358,2162735,2162703,2162735,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
311247645,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
311258330,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
312265951,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
313276855,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
314280844,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
315290920,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
315324295,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
316325812,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
316511951,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
316580342,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
318582839,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
319593177,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
320603683,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
321611357,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
322617414,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
323628516,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
324637763,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
325642266,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
326397657,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
327406305,2162735,2162703,2162735,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
