,timestamp,time_utc_usec,lat,lon,alt,noise_per_ms,jamming_indicator,vel_m_s,heading,satellites_used,load,ram_usage,voltage_filtered_v,remaining,warning,discharged_mah,noise,remote_noise,txbuf,rssi,remote_rssi,rxerrors,fix,baro_temp_celcius,baro_pressure_pa,landed,ground_contact,time
35,57120348,1554226106600004,323877929,-1170761088,23.97,47,7,3.7240002,,18,0.49740964,0.5304838000000001,10.692833,0.40925459999999997,0.0,128.69863999999998,20,0,99,60,0,10,0,35.23,102148.0,0.0,0.0,35
36,58123408,1554226107600004,323878244,-1170761052,23.97,47,5,3.4710002,,18,0.49050283,0.5304838000000001,10.679002,0.40775257,0.0,133.48186,22,0,98,55,0,10,0,35.239998,102146.0,0.0,0.0,36
37,59116330,1554226108600004,323878539,-1170761107,24.2,47,5,3.568,,17,0.5353919,0.5304838000000001,10.665189,0.4042378,0.0,138.35648999999998,21,0,100,61,0,10,0,35.25,102135.0,0.0,0.0,37
38,60121477,1554226109600004,323878874,-1170761141,24.48,47,14,4.052,,18,0.49916184,0.5304838000000001,10.661045,0.40194517,0.0,143.12872,21,0,78,55,0,10,0,35.26,102138.99,0.0,0.0,38
39,61119920,1554226110600004,323879243,-1170761145,24.84,47,15,4.3100004,,18,0.49769825,0.5313405999999999,10.6593275,0.3984924,0.0,147.79247,21,0,89,58,0,10,0,35.28,102141.0,0.0,0.0,39
40,62121395,1554226111600004,323879623,-1170761323,25.18,54,6,4.86,,18,0.49684566,0.5313405999999999,10.643162,0.39797026,0.0,152.85936,22,0,100,52,0,10,0,35.29,102135.0,0.0,0.0,40
41,63120341,1554226112600003,323879936,-1170761709,25.22,54,6,5.6130004,,18,0.48640335,0.5313405999999999,10.593418,0.39292485,0.0,158.85837,20,0,96,47,0,10,0,35.3,102142.0,0.0,0.0,41
42,64116999,1554226113600003,323880205,-1170762155,25.04,54,9,4.256,,18,0.4881903,0.5313405999999999,10.584545,0.38603407,0.0,164.29308999999998,22,0,99,50,0,10,0,35.32,102131.0,0.0,0.0,42
43,65118817,1554226114600003,323880460,-1170762408,25.09,54,6,3.1039999999999996,,18,0.49169654,0.5313405999999999,10.6099825,0.38796955,0.0,169.07891999999998,23,0,94,54,0,10,0,35.34,102128.0,0.0,0.0,43
44,66120347,1554226115600003,323880698,-1170762561,25.46,50,6,3.1990001,,18,0.7107766999999999,0.5313405999999999,10.613951,0.38135820000000004,0.0,173.84375,22,0,100,58,0,10,0,35.35,102124.0,0.0,0.0,44
45,67122429,1554226116600003,323880918,-1170762769,25.57,50,6,3.4390001000000003,,18,0.5241385999999999,0.5313405999999999,10.588452,0.37473685,0.0,179.3103,23,0,100,59,0,10,0,35.36,102116.0,0.0,0.0,45
46,68120321,1554226117600003,323880995,-1170763093,25.54,50,8,2.8170002,,18,0.49270523,0.5313405999999999,10.609963,0.38248593,0.0,184.11491,23,0,94,53,0,10,0,35.38,102119.0,0.0,0.0,46
47,69114433,1554226118600003,323880984,-1170763379,25.44,50,6,2.528,,18,0.49375653,0.5313405999999999,10.612658,0.38757712,0.0,189.11096,20,0,94,51,0,10,0,35.39,102119.99,0.0,0.0,47
48,70119025,1554226119600003,323880900,-1170763671,25.25,50,6,3.111,,18,0.49759597,0.5313405999999999,10.551826,0.37967402,0.0,195.33106999999998,19,0,100,54,0,10,0,35.41,102131.0,0.0,0.0,48
49,71124828,1554226120600003,323880748,-1170764022,25.07,47,5,3.9020002000000003,,18,0.48985517,0.5313405999999999,10.515664,0.3664313,0.0,201.58427,21,0,98,58,0,10,0,35.42,102128.0,0.0,0.0,49
50,72118704,1554226121600003,323880654,-1170764237,25.17,47,5,0.934,,18,0.49409837,0.5313405999999999,10.538827000000001,0.36586386,0.0,206.77567,22,0,94,58,0,10,0,35.43,102131.0,0.0,0.0,50
51,73120334,1554226122600003,323880651,-1170764236,25.36,48,5,0.34500003,,18,0.49667388,0.5313405999999999,10.554872999999999,0.36398655,0.0,211.82852000000003,18,0,97,49,0,10,0,35.45,102130.0,0.0,0.0,51
52,74122406,1554226123600002,323880706,-1170764139,25.74,51,10,1.8900001,,18,0.48888009999999993,0.5313405999999999,10.578921000000001,0.36809593,0.0,216.65767000000002,23,0,99,38,0,10,0,35.46,102129.0,0.0,0.0,52
53,75119537,1554226124600002,323880729,-1170763946,26.38,55,8,2.3600001,,18,0.48569113,0.5313405999999999,10.560488000000001,0.36577326,0.0,222.18336000000002,22,0,97,47,0,10,0,35.469997,102119.0,0.0,0.0,53
54,76121396,1554226125600002,323880691,-1170763679,26.81,58,4,2.3660002,,18,0.47810233,0.5313405999999999,10.550523,0.36474425,0.0,227.53677000000002,22,0,100,63,0,10,0,35.48,102111.0,0.0,0.0,54
55,77120328,1554226126600002,323880750,-1170763495,27.49,59,5,1.9590001,,18,0.49562126,0.5313405999999999,10.571894,0.3639422,0.0,232.40399,34,0,95,60,0,10,0,35.489998,102115.0,0.0,0.0,55
56,78121000,1554226127600002,323880905,-1170763373,28.23,63,14,1.9940001,,18,0.49326527,0.5313405999999999,10.58645,0.3594771,0.0,236.98961,21,0,86,57,0,10,0,35.5,102101.99,0.0,0.0,56
57,79114388,1554226128600002,323881096,-1170763325,28.95,63,14,2.4770002,,18,0.48463643,0.5313405999999999,10.624830000000001,0.35991722,0.0,240.94402999999997,23,0,99,63,0,10,0,35.51,102093.0,0.0,0.0,57
58,80113386,1554226129600002,323881298,-1170763324,29.68,63,2,1.9909999999999999,,18,0.49670196,0.53338385,10.619337,0.35722739,0.0,245.27989,23,0,100,56,0,10,0,35.52,102093.0,0.0,0.0,58
59,81113466,1554226130600002,323881427,-1170763433,31.88,63,1,1.705,,18,0.50553393,0.5335816,10.539847,0.34986502,0.0,251.59162999999998,20,0,99,59,0,10,0,35.53,102065.0,0.0,0.0,59
60,82119407,1554226131600002,323881359,-1170763624,34.67,59,10,2.6360002000000002,,18,0.49985766,0.5335816,10.503913,0.34593445,0.0,257.51617000000005,21,0,92,61,0,10,0,35.54,102038.99,0.0,0.0,60
61,83118427,1554226132600002,323881142,-1170763694,36.89,66,13,2.17,,18,0.49863379999999996,0.5335816,10.524641,0.34331852,0.0,262.6671,25,0,100,61,0,10,0,35.55,102011.0,0.0,0.0,61
62,84114327,1554226133600001,323880998,-1170763586,39.39,61,5,2.036,,18,0.49343467,0.5335816,10.539964999999999,0.34305626,0.0,267.5108,21,0,100,63,0,10,0,35.559998,101994.0,0.0,0.0,62
63,85117027,1554226134600001,323880976,-1170763403,42.1,61,5,1.5390000000000001,,18,0.5041180000000001,0.5335816,10.532442,0.34061295,0.0,272.5716,21,0,100,62,0,10,0,35.57,101954.0,0.0,0.0,63
64,86118851,1554226135600001,323881053,-1170763312,45.01,57,12,1.2830001,,18,0.49810344,0.5335816,10.50301,0.33824829999999995,0.0,278.30062999999996,20,0,100,62,0,10,0,35.579997999999996,101921.0,0.0,0.0,64
65,87116392,1554226136600001,323881138,-1170763305,47.89,57,8,0.92600006,,18,0.48986524,0.5335816,10.469271,0.32865578,0.0,284.27606000000003,22,0,93,65,0,10,0,35.59,101888.0,0.0,0.0,65
66,88117889,1554226137600001,323881185,-1170763343,50.76,53,5,0.517,,18,0.4904204000000001,0.5335816,10.407208,0.31641823,0.0,291.1907,23,0,100,66,0,10,0,35.59,101856.0,0.0,0.0,66
67,89119414,1554226138600001,323881214,-1170763379,53.66,57,6,0.51600003,,18,0.5022459,0.5335816,10.355659,0.30062634,0.0,298.37305,23,0,100,66,0,10,0,35.6,101817.0,0.0,0.0,67
68,90120834,1554226139600001,323881256,-1170763412,56.38,61,6,0.50200003,,17,0.49565005,0.5335816,10.32809,0.29242283,0.0,305.64294,22,0,92,68,0,10,0,35.6,101788.0,0.0,0.0,68
69,91126392,1554226140600001,323881295,-1170763456,58.91,61,9,0.606,,17,0.4927674,0.5335816,10.290563,0.28052527,0.0,313.275,20,0,98,69,0,10,0,35.6,101751.99,0.0,0.0,69
70,92124007,1554226141600001,323881342,-1170763492,61.26,61,8,0.64900005,,16,0.4931677,0.5335816,10.246901,0.26602513,0.0,321.34552,21,0,97,71,0,10,0,35.62,101728.0,0.0,0.0,70
71,93114327,1554226142600001,323881366,-1170763565,63.56,61,9,0.85700005,,18,0.50545895,0.5335816,10.226104,0.25281006,0.0,329.2391,21,0,81,72,0,10,0,35.62,101706.0,0.0,0.0,71
72,94119552,1554226143600000,323881376,-1170763651,64.97,61,3,0.61,,18,0.4966764,0.5335816,10.2779665,0.25350195,0.0,335.41418,20,0,94,71,0,10,0,35.62,101675.99,0.0,0.0,72
73,95121436,1554226144600000,323881366,-1170763705,65.49,61,3,0.128,,18,0.5009824,0.5335816,10.299088000000001,0.2526465,0.0,341.48787999999996,21,0,92,71,0,10,0,35.63,101663.99,0.0,0.0,73
74,96119488,1554226145600000,323881370,-1170763709,65.66,61,4,0.35000002,,17,0.49661964,0.5335816,10.303431,0.24827915,0.0,347.53226,22,0,99,71,0,10,0,35.64,101669.99,0.0,0.0,74
75,97121389,1554226146600000,323881364,-1170763725,65.73,61,3,0.076000005,,18,0.48943555,0.5335816,10.289397,0.2418924,0.0,353.81863,20,0,97,71,0,10,0,35.649998,101669.99,0.0,0.0,75
76,98126263,1554226147600000,323881353,-1170763736,65.77,61,3,0.261,,18,0.49803078,0.5335816,10.276157000000001,0.23505121,0.0,360.16812000000004,21,0,95,69,0,10,0,35.66,101665.0,0.0,0.0,76
77,99120022,1554226148600000,323881355,-1170763710,65.97,61,2,0.48400003,,18,0.49344575,0.5335816,10.269075,0.22784429999999997,0.0,366.1912,20,0,100,69,0,10,0,35.66,101669.99,0.0,0.0,77
78,100122386,1554226149600000,323881352,-1170763661,65.97,61,3,0.42400002,,18,0.5069561,0.5335816,10.249835000000001,0.21826321,0.0,372.35977,19,0,99,69,0,10,0,35.67,101674.0,0.0,0.0,78
79,101131450,1554226150600000,323881356,-1170763626,65.95,61,6,0.34600002,,18,0.5054350999999999,0.5335816,10.212257000000001,0.2027126,0.0,378.84192,19,0,97,68,0,10,0,35.67,101665.0,0.0,0.0,79
80,102120679,1554226151600000,323881356,-1170763581,66.07,61,6,0.33299999999999996,,17,0.49627477,0.5335816,10.176738,0.18624741,0.0,385.43036,22,0,100,67,0,10,0,35.68,101661.0,0.0,0.0,80
81,103123421,1554226152600000,323881340,-1170763547,66.42,61,3,0.22399999999999998,,18,0.5029736,0.5335816,10.163618,0.17254311,0.0,391.5869,23,0,99,67,0,10,0,35.68,101663.99,0.0,0.0,81
82,104123599,1554226153599999,323881318,-1170763526,66.59,62,4,0.34100002,,17,0.49262875,0.5335816,10.142947999999999,0.16201645,0.0,397.87377999999995,24,0,93,67,0,10,0,35.68,101647.0,0.0,0.0,82
83,105121398,1554226154599999,323881323,-1170763488,66.91,62,14,0.24400002,,17,0.5000484000000001,0.5335816,10.095838,0.1365605,1.0,404.3466,22,0,100,68,0,10,0,35.68,101651.99,0.0,0.0,83
84,106119456,1554226155599999,323881332,-1170763483,67.4,62,5,0.15400001,,18,0.49953228,0.5335816,10.093278,0.122611105,1.0,410.03348,21,0,98,68,0,10,0,35.68,101647.0,0.0,0.0,84
85,107117218,1554226156599999,323881337,-1170763483,67.39,53,3,0.23300001,,17,0.4910133,0.5335816,10.03973,0.1012159,1.0,416.43787000000003,23,0,99,68,0,10,0,35.69,101649.0,0.0,0.0,85
86,108114380,1554226157599999,323881335,-1170763445,67.57,58,4,0.44400004,,17,0.4948367,0.5335816,9.972194,0.0737434,1.0,423.39697,22,0,64,68,0,10,0,35.69,101646.0,0.0,0.0,86
87,109120433,1554226158599999,323881334,-1170763404,67.95,58,4,0.33400002,,17,0.50041234,0.5335816,9.841228,0.047612727,3.0,431.5062,22,0,100,68,0,10,0,35.7,101646.0,0.0,0.0,87
88,110114430,1554226159599999,323881460,-1170763303,69.35,58,5,1.452,,17,0.48957753,0.5335816,9.7383,0.041009486,3.0,439.80713,21,0,97,61,0,10,0,35.69,101628.0,0.0,0.0,88
89,111116422,1554226160599999,323881499,-1170763199,71.19,66,14,1.3850001,,17,0.49974173,0.5335816,9.631592999999999,0.00055891275,3.0,448.42755,22,0,94,66,0,10,0,35.69,101600.0,0.0,0.0,89
90,112126321,1554226161599999,323881574,-1170763087,73.33,66,12,1.0860001,,17,0.49510318,0.5335816,9.529803,0.0,3.0,456.97736,21,0,94,67,0,10,0,35.7,101576.99,0.0,0.0,90
91,113123410,1554226162599999,323881650,-1170763032,75.51,98,8,0.48600003,,17,0.5009376,0.5335816,9.440792,0.0,3.0,465.29892,22,0,100,67,0,10,0,35.7,101560.0,0.0,0.0,91
92,114124721,1554226163599998,323881625,-1170763096,76.39,91,12,1.365,,17,0.49926293,0.5335816,9.414805,0.0,3.0,472.2457,21,0,95,68,0,10,0,35.7,101550.99,0.0,0.0,92
93,115122417,1554226164599998,323881501,-1170763196,75.23,85,6,1.4430001000000001,,17,0.50543255,0.5335816,9.353241,0.0,3.0,479.10364000000004,22,0,94,68,0,10,0,35.7,101556.0,0.0,0.0,93
94,116115582,1554226165599998,323881524,-1170763226,74.69,79,7,1.8090001,,17,0.49841696,0.5335816,9.221749,0.0,3.0,486.55935999999997,20,0,90,63,0,10,0,35.71,101544.99,0.0,0.0,94
95,117121436,1554226166599998,323881686,-1170763130,75.54,79,10,2.01,,17,0.49421567,0.5335816,9.043142,0.0,3.0,494.21002000000004,22,0,86,61,0,10,0,35.71,101547.0,0.0,0.0,95
96,118119429,1554226167599998,323881680,-1170763079,75.71,79,11,1.215,,17,0.49355249999999995,0.5335816,8.884188,0.0,3.0,501.09933,21,0,97,59,0,10,0,35.7,101544.99,0.0,0.0,96
97,119121391,1554226168599998,323881623,-1170763098,74.91,79,11,0.08900000000000001,,16,0.4897468,0.5335816,8.689127000000001,0.0,3.0,507.6677,21,0,99,61,0,10,0,35.7,101550.99,0.0,0.0,97
98,120122375,1554226169599998,323881646,-1170763090,74.35,74,7,0.314,,17,0.5040482,0.5335816,8.368636,0.0,3.0,514.4593,20,0,100,61,0,10,0,35.7,101550.99,0.0,0.0,98
