,Unnamed: 0,Unnamed: 0.1,timestamp,time_utc_usec,lat,lon,alt,noise_per_ms,jamming_indicator,vel_m_s,heading,satellites_used,load,ram_usage,voltage_filtered_v,remaining,warning,discharged_mah,noise,remote_noise,txbuf,rssi,remote_rssi,rxerrors,fix,baro_temp_celcius,baro_pressure_pa,landed,ground_contact,time
34,34,34,154187594,1554223019200191,323875192,-1170763824,0.02,49,31,1.0200001,,17,0.5104188000000001,0.79087377,10.960892999999999,0.56361896,0,487.86425999999994,29.0,0.0,93.0,91.0,0.0,5.0,0.0,25.428003,101380.664,0.0,0.0,34
35,35,35,155188968,1554223020200190,323875112,-1170763765,0.02,49,31,0.63000005,,17,0.5112692,0.79087377,11.017069000000001,0.57660705,0,501.85614000000004,26.0,0.0,100.0,89.0,0.0,5.0,0.0,25.350597,101378.91,0.0,0.0,35
36,36,36,156190407,1554223021200190,323875047,-1170763792,0.02,53,47,0.643,,17,0.5185622999999999,0.79087377,11.085566,0.59338933,0,516.1139,29.0,0.0,100.0,91.0,0.0,5.0,0.0,25.290670000000002,101361.26,0.0,0.0,36
37,37,37,157182069,1554223022200190,323875031,-1170763867,0.03,57,49,0.98,,17,0.5150616,0.79087377,11.211296,0.62196094,0,529.25806,34.0,0.0,99.0,76.0,0.0,5.0,0.0,25.23324,101342.01,0.0,0.0,37
38,38,38,158182412,1554223023200190,323875070,-1170763992,0.03,57,37,1.5250001,,16,0.51731694,0.79087377,11.295392,0.64233285,0,542.91595,28.0,0.0,99.0,65.0,0.0,5.0,0.0,25.243229,101328.11,0.0,0.0,38
39,39,39,159184337,1554223024200190,323875150,-1170764095,0.02,61,37,1.284,,16,0.5078861,0.79087377,11.328169,0.65076905,0,556.1651,33.0,0.0,97.0,67.0,0.0,5.0,0.0,25.230743,101335.35,0.0,0.0,39
40,40,40,160185981,1554223025200190,323875238,-1170764149,0.02,61,71,0.98600006,,17,0.51627773,0.79087377,11.269069,0.63680965,0,570.4426,32.0,0.0,97.0,74.0,0.0,5.0,0.0,25.215760999999997,101357.56,0.0,0.0,40
41,41,41,161192909,1554223026200190,323875326,-1170764188,0.02,71,46,0.98,,17,0.50584215,0.79087377,11.193209,0.61887866,0,584.55646,29.0,0.0,99.0,80.0,0.0,5.0,0.0,25.223251,101387.0,0.0,0.0,41
42,42,42,162187132,1554223027200190,323875368,-1170764147,0.02,67,41,0.49300003,,15,0.5414454000000001,0.79087377,11.141063,0.59629184,0,598.6899,39.0,0.0,94.0,76.0,0.0,5.0,0.0,25.200779,101413.88,0.0,0.0,42
43,43,43,163194053,1554223028200189,323875412,-1170764048,0.02,66,50,1.386,,17,0.5459427,0.79087377,11.16346,0.60616904,0,612.7458,52.0,0.0,97.0,77.0,0.0,5.0,0.0,25.170815,101418.06,0.0,0.0,43
44,44,44,164185710,1554223029200189,323875447,-1170763914,0.02,62,39,1.335,,17,0.5456854,0.79087377,11.18215,0.61170226,0,626.7659,41.0,0.0,97.0,82.0,0.0,5.0,0.0,25.138354999999997,101415.08,0.0,0.0,44
45,45,45,165192907,1554223030200189,323875454,-1170763804,0.02,62,39,0.53300005,,17,0.55080664,0.79087377,11.187337,0.61407787,0,641.02783,38.0,0.0,93.0,86.0,0.0,5.0,0.0,25.1009,101407.55,0.0,0.0,45
46,46,46,166191922,1554223031200189,323875434,-1170763729,0.02,62,42,0.92,,17,0.5589225,0.79087377,11.126357,0.5996483,0,655.21533,34.0,0.0,80.0,87.0,0.0,5.0,0.0,25.085918,101401.88,0.0,0.0,46
47,47,47,167192651,1554223032200189,323875387,-1170763677,0.02,62,41,0.36,,17,0.5572798000000001,0.79087377,11.059476,0.5813425,0,669.1771,36.0,0.0,96.0,88.0,0.0,5.0,0.0,25.025991,101402.66,0.0,0.0,47
48,48,48,168189744,1554223033200189,323875381,-1170763765,0.02,62,45,1.0490000000000002,,17,0.54778564,0.79087377,11.116027,0.59586316,0,683.4223599999998,40.0,0.0,97.0,90.0,0.0,5.0,0.0,24.963568,101398.78,0.0,0.0,48
49,49,49,169195821,1554223034200189,323875407,-1170763891,0.02,62,39,1.6190001,,17,0.54777217,0.79087377,11.174041,0.60993654,0,697.50006,42.0,0.0,95.0,93.0,0.0,5.0,0.0,24.913626,101384.98,0.0,0.0,49
50,50,50,170189923,1554223035200189,323875464,-1170764071,0.02,62,46,1.8670001,,17,0.5509130999999999,0.79087377,11.128698,0.59699374,0,711.66095,44.0,0.0,83.0,94.0,0.0,5.0,0.0,24.891153,101379.76,0.0,0.0,50
51,51,51,171188989,1554223036200189,323875524,-1170764196,0.02,62,46,1.034,,17,0.5502118,0.79087377,11.165662,0.6059535,0,725.6665,41.0,0.0,98.0,92.0,0.0,5.0,0.0,24.863688,101376.09,0.0,0.0,51
52,52,52,172194093,1554223037200188,323875606,-1170764272,0.02,67,41,1.12,,17,0.5347715999999999,0.79087377,11.134495,0.5984977,0,739.8713,41.0,0.0,96.0,96.0,0.0,5.0,0.0,24.87118,101374.945,0.0,0.0,52
53,53,53,173186951,1554223038200188,323875694,-1170764305,0.02,67,40,0.79700005,,17,0.5274898,0.79087377,11.136087,0.59794503,0,753.9609,42.0,0.0,95.0,98.0,0.0,5.0,0.0,24.888657000000002,101378.68,0.0,0.0,53
54,54,54,174190941,1554223039200188,323875758,-1170764332,0.02,67,47,0.93000007,,17,0.5600815,0.79087377,11.135639,0.59813195,0,768.0376,48.0,0.0,89.0,98.0,0.0,5.0,0.0,24.868682999999997,101379.44,0.0,0.0,54
55,55,55,175187567,1554223040200188,323875827,-1170764416,0.02,67,47,1.187,,17,0.5444653,0.79087377,11.166891,0.60545427,0,782.22504,41.0,0.0,99.0,96.0,0.0,5.0,0.0,24.8562,101377.71,0.0,0.0,55
56,56,56,176189911,1554223041200188,323875892,-1170764473,0.02,66,39,0.643,,17,0.52628875,0.79087377,11.144331,0.599943,0,796.2872,37.0,0.0,99.0,93.0,0.0,5.0,0.0,24.86119,101379.72,0.0,0.0,56
57,57,57,177186937,1554223042200188,323875928,-1170764454,0.02,66,39,0.35000002,,17,0.5539081,0.79087377,11.103015,0.59121114,0,810.40314,35.0,0.0,96.0,80.0,0.0,5.0,0.0,24.848707,101386.78,0.0,0.0,57
58,58,58,178192907,1554223043200188,323875929,-1170764421,0.02,66,45,0.56700003,,17,0.5399023000000001,0.79087377,11.125055999999999,0.5962909000000001,0,824.0955,39.0,0.0,100.0,79.0,0.0,5.0,0.0,24.818742999999998,101394.51,0.0,0.0,58
59,59,59,179192965,1554223044200188,323875892,-1170764380,0.02,66,45,0.34500003,,16,0.5289661999999999,0.79087377,10.831209,0.51657754,0,836.3436,35.0,0.0,97.0,81.0,0.0,5.0,0.0,24.743834,101390.945,0.0,0.0,59
60,60,60,180211056,1554223045200187,323875862,-1170764389,0.02,66,44,0.597,,17,0.53727305,0.79087377,10.782561,0.5032585,0,849.8523,42.0,0.0,100.0,81.0,0.0,5.0,0.0,24.736341,101394.78,0.0,0.0,60
61,61,61,181190924,1554223046200187,323875796,-1170764366,0.03,66,45,0.90300006,,17,0.5336224,0.79087377,10.865024,0.5250009,0,864.0698,42.0,0.0,97.0,81.0,0.0,5.0,0.0,24.698889,101369.35,0.0,0.0,61
62,62,62,182189900,1554223047200187,323875716,-1170764329,0.03,66,35,1.001,,17,0.508941,0.79087377,10.98038,0.55266935,0,877.83704,40.0,0.0,89.0,84.0,0.0,5.0,0.0,24.613993,101339.33,0.0,0.0,62
63,63,63,183186956,1554223048200187,323875638,-1170764288,0.03,54,24,0.748,,17,0.5143138,0.79087377,11.153965,0.59629375,0,890.6463,39.0,0.0,93.0,84.0,0.0,5.0,0.0,24.54158,101303.945,0.0,0.0,63
64,64,64,184190928,1554223049200187,323875588,-1170764284,0.03,54,62,0.36100003,,17,0.5153502000000001,0.79087377,11.169394,0.60164386,0,904.4559300000001,47.0,0.0,92.0,84.0,0.0,5.0,0.0,24.521604999999997,101284.445,0.0,0.0,64
65,65,65,185193278,1554223050200187,323875617,-1170764337,0.03,54,68,0.77400005,,17,0.5185603,0.79087377,11.199498,0.60872155,0,918.22675,45.0,0.0,97.0,85.0,0.0,5.0,0.0,24.576538,101284.73,0.0,0.0,65
66,66,66,186184885,1554223051200187,323875666,-1170764392,0.03,59,34,0.535,,17,0.5193255999999999,0.79087377,11.076597,0.5798996,0,932.4844,43.0,0.0,100.0,85.0,0.0,5.0,0.0,24.599009,101293.484,0.0,0.0,66
67,67,67,187189804,1554223052200187,323875679,-1170764431,0.03,59,36,0.33800003,,17,0.5196018,0.79087377,11.148432000000001,0.5959328,0,946.2611,45.0,0.0,100.0,86.0,0.0,5.0,0.0,24.596512,101311.81,0.0,0.0,67
68,68,68,188190144,1554223053200186,323875659,-1170764384,0.03,59,49,0.47800002,,17,0.53740454,0.79087377,11.102089999999999,0.58662015,0,960.3708,42.0,0.0,93.0,88.0,0.0,5.0,0.0,24.559057,101319.48,0.0,0.0,68
69,69,69,189192917,1554223054200186,323875671,-1170764369,0.02,63,45,0.20300001,,17,0.5438499,0.79087377,11.103987,0.58806545,0,974.4325,43.0,0.0,96.0,88.0,0.0,5.0,0.0,24.544076999999998,101334.22,0.0,0.0,69
70,70,70,190190379,1554223055200186,323875673,-1170764367,0.02,63,44,0.27699999999999997,,17,0.55496603,0.79087377,11.116522999999999,0.5892175000000001,0,988.6631,57.0,0.0,97.0,91.0,0.0,5.0,0.0,24.556562,101345.234,0.0,0.0,70
71,71,71,191189881,1554223056200186,323875624,-1170764392,0.02,63,44,1.1860001,,17,0.55056405,0.79087377,11.061567,0.57243377,0,1002.7829,45.0,0.0,94.0,94.0,0.0,5.0,0.0,24.519108,101349.52,0.0,0.0,71
72,72,72,192199959,1554223057200186,323875512,-1170764408,0.02,63,49,1.1880001,,17,0.5523043000000001,0.79087377,11.050460000000001,0.5702918,0,1016.808,41.0,0.0,96.0,93.0,0.0,5.0,0.0,24.456682,101354.44,0.0,0.0,72
73,73,73,193197496,1554223058200186,323875450,-1170764406,0.02,63,46,0.47000003,,17,0.5537408,0.79087377,11.065488,0.57322055,0,1030.9977,43.0,0.0,97.0,93.0,0.0,5.0,0.0,24.399254,101357.12,0.0,0.0,73
74,74,74,194198928,1554223059200186,323875427,-1170764405,0.02,71,36,0.22399999999999998,,17,0.53454655,0.79087377,11.064946,0.5731519,0,1045.1161,47.0,0.0,100.0,90.0,0.0,5.0,0.0,24.366792999999998,101353.11,0.0,0.0,74
75,75,75,195199906,1554223060200186,323875446,-1170764414,0.02,71,38,0.29200003,,17,0.51895833,0.79087377,11.100306,0.58232814,0,1059.1792,47.0,0.0,96.0,92.0,0.0,5.0,0.0,24.329338,101353.695,0.0,0.0,75
76,76,76,196189736,1554223061200185,323875418,-1170764432,0.02,70,37,0.52900004,,17,0.5158093,0.79087377,11.079431,0.57657653,0,1073.2709,47.0,0.0,100.0,73.0,0.0,5.0,0.0,24.324345,101350.34,0.0,0.0,76
77,77,77,197010452,1554223062000185,323875397,-1170764436,0.02,70,37,0.13100001,,17,0.51538557,0.79087377,11.129347000000001,0.5872429,0,1086.8787,44.0,0.0,86.0,70.0,0.0,5.0,0.0,24.271910000000002,101345.41,0.0,0.0,77
78,78,78,198192733,1554223063200185,323875403,-1170764445,0.02,76,10,0.503,,17,0.5095624,0.79087377,11.112327,0.58314306,0,1100.882,47.0,0.0,100.0,74.0,0.0,5.0,0.0,24.216978,101341.086,0.0,0.0,78
79,79,79,199194895,1554223064200185,323875466,-1170764478,0.02,71,31,1.19,,17,0.5123545,0.79087377,11.1325655,0.58756715,0,1114.747,46.0,0.0,94.0,85.0,0.0,5.0,0.0,24.172031,101341.44,0.0,0.0,79
80,80,80,200190099,1554223065200185,323875592,-1170764546,0.02,71,28,1.9850001,,17,0.5193979999999999,0.79087377,11.114716,0.58588487,0,1128.9785,46.0,0.0,86.0,80.0,0.0,5.0,0.0,24.177023000000002,101346.64,0.0,0.0,80
81,81,81,201194389,1554223066200185,323875809,-1170764658,0.02,71,23,2.93,,17,0.5479709,0.79087377,10.989473,0.5559166,0,1143.0392,45.0,0.0,94.0,87.0,0.0,5.0,0.0,24.197,101357.35,0.0,0.0,81
82,82,82,202195982,1554223067200185,323876073,-1170764722,0.02,71,31,2.9900002,,17,0.5464778,0.79087377,11.014281,0.5616682,0,1156.9767,46.0,0.0,100.0,90.0,0.0,5.0,0.0,24.144566,101363.88,0.0,0.0,82
83,83,83,203001515,1554223068000185,323876271,-1170764665,0.02,71,31,2.562,,17,0.5362411,0.79087377,11.052961,0.56711704,0,1169.5228,46.0,0.0,99.0,93.0,0.0,5.0,0.0,24.109607999999998,101357.625,0.0,0.0,83
84,84,84,204196896,1554223069200184,323876541,-1170764580,0.02,66,21,2.7410002,,17,0.5486963,0.79087377,10.994203,0.556866,0,1183.6401,47.0,0.0,86.0,89.0,0.0,5.0,0.0,24.15705,101356.01,0.0,0.0,84
85,85,85,205194923,1554223070200184,323876701,-1170764552,0.02,66,29,0.67300004,,17,0.5511096999999999,0.79087377,10.926925,0.5417884,0,1197.8248,45.0,0.0,93.0,80.0,0.0,5.0,0.0,24.169535,101362.445,0.0,0.0,85
